timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
479491903,479490333,31044075,49.078753500000005,2.2543773,-0.9176519,-2.1320732,2.207243,-0.0069100135,-0.00015225113,0.25713933,-0.013389281,-0.004878587,0.024414277,0.028590057,-0.036898524,0.010050106,0.041895274,0.64939183,0.23510638,0.2508389,-0.53173196,0.01776818,99.7061,0.1,0.35227346,0.39162022,0.14050117,0.10466464,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479501659,479500340,31044075,49.078753500000005,2.2543773,-0.9178484,-2.132484,2.2074192,-0.0069100135,-0.00015225113,0.25713933,-0.015131752,-0.004673402,0.023376072,0.02743454,-0.036898524,0.010050106,0.041895274,0.30793253,0.3634298,-0.17871222,-0.5318241,0.01776818,99.7061,0.1,0.3531037,0.389851,0.14094803,0.10458412,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479512071,479510348,31044075,49.078753500000005,2.2543773,-0.9180484,-2.1328845,2.2075896,-0.0069100135,-0.00015225113,0.25713933,-0.017914208,-0.0050630686,0.02198425,0.025928818,-0.036898524,0.010050106,0.041895274,-0.3759567,0.49042147,-0.36113757,-0.53214717,0.01776818,99.7061,0.1,0.3539388,0.39052096,0.1413956,0.104772314,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479521452,479520355,31044075,49.078753500000005,2.2543773,-0.9182509,-2.133264,2.2077615,-0.0069100135,-0.00015225113,0.25713933,-0.01637729,-0.0071429196,0.023361603,0.027195573,-0.036898524,0.010050106,0.041895274,0.091849476,-0.398569,-0.06739513,-0.5324657,0.01776818,99.7061,0.1,0.35477877,0.39119312,0.14184396,0.10496058,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479532510,479530571,31044075,49.078753500000005,2.2543773,-0.9184534,-2.1336176,2.2079399,-0.0069100135,-0.00015225113,0.25713933,-0.01989524,-0.004283714,0.021257037,0.024983633,-0.036898524,0.010050106,0.041895274,-0.7487211,-0.21450198,-0.5119292,-0.532878,0.01776818,99.7061,0.1,0.35562366,0.39186746,0.14229232,0.10514893,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479541579,479540528,31044075,49.078753500000005,2.2543773,-0.918644,-2.1339567,2.2081172,-0.0069100135,-0.00015225113,0.25713933,-0.015732149,-0.0042465297,0.022758393,0.026380705,-0.036898524,0.010050106,0.041895274,0.013950013,0.12375482,-0.40264732,-0.5328398,0.01776818,99.7061,0.1,0.35647345,0.39254403,0.14274177,0.10533738,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479551894,479550487,31044075,49.078753500000005,2.2543773,-0.9188353,-2.1342704,2.2082868,-0.0069100135,-0.00015225113,0.25713933,-0.0160064,-0.0025186527,0.022354871,0.025875907,-0.036898524,0.010050106,0.041895274,0.55370253,0.19013706,0.015657308,-0.53244585,0.01776818,99.7061,0.1,0.35732815,0.39322278,0.14319377,0.10552595,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479561759,479560444,31044075,49.078753500000005,2.2543773,-0.9190178,-2.1345587,2.208396,-0.0069100135,-0.00015225113,0.25713933,-0.018336901,-0.0024651822,0.022091871,0.02544934,-0.036898524,0.010050106,0.041895274,-0.37784025,-0.114128545,-0.19249961,-0.53189963,0.01776818,99.7061,0.1,0.3581878,0.39143258,0.14364497,0.10543868,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479571474,479570409,31044075,49.078753500000005,2.2543773,-0.91919935,-2.134836,2.208512,-0.0069100135,-0.00015225113,0.25713933,-0.017911412,-0.004380004,0.022749376,0.02594897,-0.036898524,0.010050106,0.041895274,-0.37039053,-0.6068279,-0.123859696,-0.5313519,0.01776818,99.7061,0.1,0.35905242,0.39211148,0.14409444,0.105627514,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479581948,479580402,31044075,49.078753500000005,2.2543773,-0.91937613,-2.1351197,2.2086313,-0.0069100135,-0.00015225113,0.25713933,-0.016592152,-0.004147992,0.02202699,0.025074216,-0.036898524,0.010050106,0.041895274,0.014011849,0.0028050567,-0.2065535,-0.5309526,0.01776818,99.7061,0.1,0.35992202,0.3927926,0.14454637,0.105816424,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
