timestamp,device_id,raw_data[0],raw_data[1],raw_data[2],raw_data[3],raw_data[4],raw_data[5],raw_data[6],raw_data[7],raw_data[8],raw_data[9],raw_data[10],raw_data[11],resolution,v_ref,channel_id[0],channel_id[1],channel_id[2],channel_id[3],channel_id[4],channel_id[5],channel_id[6],channel_id[7],channel_id[8],channel_id[9],channel_id[10],channel_id[11]
71056926,4294967295,1130,11,6,0,33,1590,3104,2065,1683,1287,1100,1010,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71068052,4294967295,1144,5,27,1,32,1557,3127,2065,1655,1266,1092,1008,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71077132,4294967295,1145,0,24,19,33,1545,3155,2065,1675,1282,1082,1009,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71086734,4294967295,1151,0,7,0,33,1567,3146,2065,1669,1256,1093,1009,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71097157,4294967295,1142,0,5,0,33,1537,3142,2065,1659,1304,1087,1009,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71106613,4294967295,1129,0,28,19,32,1561,3128,2066,1688,1279,1113,1010,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71117430,4294967295,1120,0,8,0,32,1556,3108,2066,1650,1303,1113,1011,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71126428,4294967295,1141,0,8,4,32,1610,3090,2065,1681,1277,1131,1010,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71136500,4294967295,1108,0,3,0,32,1541,3122,2065,1668,1260,1120,1011,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71147138,4294967295,1126,0,4,1,32,1507,3112,2067,1662,1289,1084,1009,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71157118,4294967295,1104,33,7,16,32,1512,3111,2064,1672,1247,1083,1010,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71167054,4294967295,1123,17,25,18,33,1313,3102,2064,1660,1306,1074,1011,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71177043,4294967295,1141,32,12,19,32,1569,3131,2065,1668,1243,1080,1011,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71187318,4294967295,1143,37,27,18,33,1228,3124,2068,1659,1299,1061,1010,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71197028,4294967295,1118,60,7,4,33,1599,3153,2065,1680,1253,1087,1009,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71207157,4294967295,1126,65,28,18,33,1260,3135,2065,1664,1284,1074,1011,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71217285,4294967295,1124,65,5,18,32,1585,3127,2066,1652,1284,1081,1010,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71227236,4294967295,1141,61,8,14,32,1413,3137,2061,1669,1245,1065,1012,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71237092,4294967295,1139,68,27,0,32,1567,3142,2065,1666,1250,1082,1011,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71247575,4294967295,1125,75,7,0,32,1239,3153,2057,1648,1271,1071,1010,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71257956,4294967295,1122,85,1,2,33,1530,3153,2067,1667,1260,1088,1010,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71267378,4294967295,1116,93,8,11,32,1248,3107,2064,1676,1282,1067,1010,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71277058,4294967295,1122,94,11,19,33,1520,3125,2066,1670,1252,1085,1010,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71287483,4294967295,1122,112,8,0,32,1606,3124,2066,1653,1282,1080,1011,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71297191,4294967295,1124,107,7,0,32,1527,3108,2065,1677,1259,1106,1009,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71307219,4294967295,1123,110,7,1,32,1582,3125,2066,1672,1259,1090,1011,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71317203,4294967295,1124,139,8,21,32,1506,3151,2066,1657,1292,1096,1010,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71327190,4294967295,1144,134,12,0,33,1551,3160,2064,1672,1247,1089,1012,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71337185,4294967295,1125,144,8,0,32,1455,3150,2066,1662,1300,1088,1011,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71347345,4294967295,1108,151,23,0,33,1555,3135,2063,1685,1268,1096,1011,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71357205,4294967295,1125,154,28,0,32,1492,3105,2066,1670,1265,1099,1010,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71367291,4294967295,1120,188,0,9,32,1509,3138,2066,1649,1276,1070,1012,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71377214,4294967295,1135,176,29,21,33,1517,3112,2066,1675,1278,1130,1010,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71386426,4294967295,1130,194,7,0,33,1520,3157,2067,1669,1282,1108,1012,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71396416,4294967295,1119,178,31,0,32,1072,3089,2066,1652,1308,1034,1012,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71407344,4294967295,1134,178,16,18,33,1522,3108,2066,1674,1234,1069,1011,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71417214,4294967295,1127,162,8,1,32,1461,3164,2065,1668,1242,1064,1011,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71426965,4294967295,1123,179,14,5,33,1522,3146,2065,1667,1263,1090,1010,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71547321,4294967295,1134,246,8,14,33,1442,3162,2068,1677,1276,1089,1010,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71557279,4294967295,1150,223,27,2,33,1542,3161,2065,1662,1304,1088,1011,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71567438,4294967295,1117,216,3,0,32,1530,3166,2066,1675,1269,1098,1013,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71577268,4294967295,1112,203,24,18,32,1555,3104,2065,1674,1262,1107,1010,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71587384,4294967295,1129,196,13,0,32,1525,3097,2067,1655,1297,1088,1011,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71597129,4294967295,1115,204,8,19,32,1544,3118,2066,1676,1287,1099,1011,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71607534,4294967295,1116,193,8,3,33,1456,3112,2067,1658,1253,1076,1012,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71617274,4294967295,1118,207,8,0,33,1407,3125,2065,1677,1270,1094,1011,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71627459,4294967295,1130,193,5,15,32,1498,3107,2064,1656,1285,1054,1009,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71637161,4294967295,1122,208,8,0,33,1395,3146,2065,1684,1282,1084,1010,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
71646490,4294967295,1109,200,7,19,32,1559,3147,2064,1680,1243,1096,1010,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
