timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
668065229,668065014,3670026,0.47022122,0.97348243,-9.934979,45.166462,0,0,0,0,5
668066482,668066266,3670026,0.46830586,0.97491896,-9.960358,45.235004,0,0,0,0,5
668067724,668067506,3670026,0.431914,1.034774,-9.963231,45.225216,0,0,0,0,5
668068974,668068759,3670026,0.4520253,1.010832,-9.993876,45.210526,0,0,0,0,5
668070226,668070012,3670026,0.4687847,1.017057,-9.950302,45.23011,0,0,0,0,5
668073977,668073764,3670026,0.44915223,1.0113108,-9.975202,45.225216,0,0,0,0,5
668075248,668075026,3670026,0.46543282,0.98688996,-9.957485,45.25459,0,0,0,0,5
668078711,668078493,3670026,0.47261542,1.0175357,-9.978554,45.26928,0,0,0,0,5
668082448,668082223,3670026,0.4592079,1.010832,-9.9790325,45.259487,0,0,0,0,5
668086171,668085956,3670026,0.4381389,0.96151143,-9.974723,45.19094,0,0,0,0,5
668089898,668089687,3670026,0.45154646,0.95672303,-9.999623,45.176254,0,0,0,0,5
668092395,668092177,3670026,0.42329487,0.95241344,-10.078631,45.200733,0,0,0,0,5
668096130,668095914,3670026,0.5707777,0.8312668,-9.953654,45.186047,0,0,0,0,5
668099862,668099645,3670026,0.30406362,1.1678916,-10.041282,45.210526,0,0,0,0,5
668103599,668103386,3670026,0.43478703,1.0371681,-9.799947,45.186047,0,0,0,0,5
668107329,668107114,3670026,0.5674258,0.97300357,-9.886617,45.235004,0,0,0,0,5
668111076,668110853,3670026,0.5295974,1.070687,-10.012551,45.239902,0,0,0,0,5
668113555,668113340,3670026,0.26192567,1.1693281,-10.097306,45.20563,0,0,0,0,5
668117293,668117072,3670026,0.61914057,0.8130709,-9.808086,45.20563,0,0,0,0,5
668122273,668122051,3670026,0.51188034,0.92607725,-9.995792,45.220318,0,0,0,0,5
668124753,668124542,3670026,0.4673482,1.0036494,-9.886138,45.23011,0,0,0,0,5
668128487,668128275,3670026,0.578918,0.69144547,-9.912474,45.19094,0,0,0,0,5
668132233,668132009,3670026,0.3806781,1.2076354,-10.107362,45.215424,0,0,0,0,5
668134711,668134498,3670026,0.43957543,0.81642276,-9.730515,45.161568,0,0,0,0,5
668138448,668138233,3670026,0.5717354,0.89112186,-9.875124,45.235004,0,0,0,0,5
668142185,668141967,3670026,0.24420857,1.0654198,-10.141838,45.19584,0,0,0,0,5
668145925,668145703,3670026,0.5152322,0.93325984,-10.02979,45.283966,0,0,0,0,5
668148411,668148191,3670026,0.48171338,1.0601525,-9.613199,45.244797,0,0,0,0,5
668152152,668151928,3670026,0.67372835,1.0817003,-9.792764,45.181152,0,0,0,0,5
668157121,668156905,3670026,0.7182605,0.3878607,-9.994356,45.176254,0,0,0,0,5
668159605,668159393,3670026,0.6564901,1.0132262,-10.338163,45.156673,0,0,0,0,5
668163343,668163130,3670026,0.11252748,0.9466674,-10.134656,45.19584,0,0,0,0,5
668167077,668166862,3670026,0.8173805,1.3618219,-9.686461,45.25459,0,0,0,0,5
668169565,668169351,3670026,0.35290533,0.40462008,-10.219411,45.274174,0,0,0,0,5
668173322,668173102,3670026,0.43718123,1.1468226,-9.888532,45.225216,0,0,0,0,5
668177035,668176820,3670026,0.3275268,1.3038822,-9.628522,45.23011,0,0,0,0,5
668180778,668180559,3670026,0.63781536,1.0912771,-9.508812,45.181152,0,0,0,0,5
668184503,668184288,3670026,0.683784,0.9998186,-9.954612,45.23011,0,0,0,0,5
668187014,668186795,3670026,0.24995466,0.9466674,-10.133698,45.239902,0,0,0,0,5
668191979,668191759,3670026,0.3466804,1.4595053,-9.836338,45.26928,0,0,0,0,5
668194457,668194246,3670026,0.6727707,1.0400412,-9.607452,45.210526,0,0,0,0,5
668198195,668197982,3670026,0.4663905,1.0352528,-10.027395,45.225216,0,0,0,0,5
668201941,668201721,3670026,0.2624045,1.3096284,-10.097306,45.25459,0,0,0,0,5
668204425,668204204,3670026,0.6531382,1.3311762,-9.860759,45.235004,0,0,0,0,5
668208152,668207940,3670026,0.5080496,0.60286,-10.041282,45.235004,0,0,0,0,5
668211896,668211674,3670026,0.2585738,1.5093048,-10.290279,45.220318,0,0,0,0,5
668215638,668215412,3670026,0.38738185,0.49943048,-9.9182205,45.26438,0,0,0,0,5
668219351,668219141,3670026,0.34141317,1.1530476,-10.07911,45.26438,0,0,0,0,5
668223091,668222876,3670026,0.29448682,1.010832,-9.758766,45.23011,0,0,0,0,5
668226846,668226619,3670026,0.48841715,0.4544195,-9.998186,45.20563,0,0,0,0,5
668229310,668229099,3670026,0.48506528,1.1314998,-9.829156,45.239902,0,0,0,0,5
668234305,668234081,3670026,0.43718123,1.0165781,-9.953176,45.161568,0,0,0,0,5
668236785,668236568,3670026,0.47405195,0.84228015,-9.97185,45.235004,0,0,0,0,5
668240521,668240303,3670026,0.43047747,0.80062103,-9.9919615,45.20563,0,0,0,0,5
668244249,668244037,3670026,0.48410758,1.0673351,-10.325713,45.19094,0,0,0,0,5
668246742,668246526,3670026,0.45872906,1.196622,-9.923966,45.23011,0,0,0,0,5
668250478,668250263,3670026,0.59663504,0.87005293,-9.568666,45.181152,0,0,0,0,5
668254206,668253995,3670026,0.57508725,1.1271902,-10.224199,45.23011,0,0,0,0,5
668257944,668257733,3670026,0.46591166,1.1745954,-10.405201,45.17136,0,0,0,0,5
668264166,668263953,3670026,0.3854665,1.0280702,-9.536584,45.151775,0,0,0,0,5
668265428,668265201,3670026,0.42281604,1.1755531,-10.576626,45.19094,0,0,0,0,5
668267903,668267687,3670026,0.2810793,0.82552075,-9.507375,45.220318,0,0,0,0,5
668272885,668272668,3670026,0.638773,1.0314221,-10.420045,45.166462,0,0,0,0,5
668275372,668275157,3670026,0.06991069,1.0740389,-10.1188545,45.20563,0,0,0,0,5
668277864,668277651,3670026,0.48698062,1.1209652,-9.617988,45.19584,0,0,0,0,5
668281620,668281398,3670026,0.5377377,1.0635045,-9.85597,45.161568,0,0,0,0,5
668285358,668285137,3670026,0.5152322,1.1870452,-9.811439,45.19584,0,0,0,0,5
668289099,668288887,3670026,0.39121255,0.9481039,-9.339781,45.225216,0,0,0,0,5
668292865,668292652,3670026,0.2873042,0.95720184,-9.5188675,45.20563,0,0,0,0,5
668296626,668296401,3670026,0.5353435,0.9323022,-10.237127,45.239902,0,0,0,0,5
668299108,668298896,3670026,0.64020956,1.3096284,-10.058042,45.23011,0,0,0,0,5
668302878,668302659,3670026,0.37541083,0.8566454,-10.251972,45.186047,0,0,0,0,5
668306611,668306396,3670026,0.34715924,1.3412318,-10.006327,45.176254,0,0,0,0,5
668310367,668310153,3670026,0.41036618,1.0151415,-10.0029745,45.220318,0,0,0,0,5
668312870,668312657,3670026,0.31651348,1.0931925,-10.112629,45.225216,0,0,0,0,5
668316630,668316413,3670026,0.36631286,0.81642276,-10.187328,45.225216,0,0,0,0,5
668320370,668320157,3670026,0.53486466,1.1267114,-9.9843,45.176254,0,0,0,0,5
668324117,668323907,3670026,0.48075572,0.6483498,-10.394667,45.23011,0,0,0,0,5
668327870,668327659,3670026,0.5449203,0.7795521,-9.368511,45.17136,0,0,0,0,5
668334124,668333912,3670026,0.4697424,0.8221689,-10.087251,45.225216,0,0,0,0,5
668335389,668335173,3670026,0.5659893,1.0304644,-9.431239,45.220318,0,0,0,0,5
668337607,668337396,3670026,0.5688623,1.193749,-9.937853,45.26438,0,0,0,0,5
668342598,668342377,3670026,0.37828386,1.1477803,-10.659944,45.220318,0,0,0,0,5
668345073,668344861,3670026,0.27341783,1.3383588,-10.839509,45.26928,0,0,0,0,5
668348810,668348595,3670026,0.329921,0.96438444,-10.186371,45.27907,0,0,0,0,5
668353788,668353575,3670026,0.35194767,0.68091094,-9.51743,45.235004,0,0,0,0,5
668355035,668354819,3670026,0.896868,0.82791495,-10.906068,45.26438,0,0,0,0,5
668358766,668358554,3670026,0.5185841,0.44101197,-8.520006,45.25459,0,0,0,0,5
668362511,668362293,3670026,0.7848193,0.79104424,-9.931627,45.210526,0,0,0,0,5
668366246,668366022,3670026,0.4486734,1.1353304,-9.337866,45.210526,0,0,0,0,5
668369966,668369756,3670026,0.4486734,1.1516111,-9.137232,45.30355,0,0,0,0,5
668373710,668373490,3670026,-0.17717093,1.2876017,-10.923785,45.161568,0,0,0,0,5
668376198,668375980,3670026,0.15562311,1.6309302,-10.821792,45.166462,0,0,0,0,5
668379933,668379715,3670026,0.059376203,1.5945383,-10.427227,45.19584,0,0,0,0,5
668383668,668383448,3670026,1.1693281,0.80684596,-9.756851,45.176254,0,0,0,0,5
668387400,668387183,3670026,0.43718123,0.32609028,-9.643366,45.244797,0,0,0,0,5
668391145,668390922,3670026,0.78338283,1.3670892,-9.752542,45.225216,0,0,0,0,5
668393622,668393407,3670026,0.76279265,1.8569429,-7.8175473,45.181152,0,0,0,0,5
668397353,668397141,3670026,0.48267108,-0.32321724,-11.027214,45.210526,0,0,0,0,5
668403585,668403370,3670026,0.4367024,1.3747506,-12.7749815,45.225216,0,0,0,0,5
668404821,668404609,3670026,0.7402872,0.7005434,-11.355699,45.308445,0,0,0,0,5
668408556,668408343,3670026,0.50757074,2.165316,-10.456916,45.186047,0,0,0,0,5
668413541,668413323,3670026,-0.8987833,0.37062243,-9.040505,45.161568,0,0,0,0,5
668414782,668414569,3670026,-0.5746084,1.3383588,-10.366415,45.181152,0,0,0,0,5
668418533,668418311,3670026,0.9624691,1.6701951,-7.7423697,45.26928,0,0,0,0,5
668423499,668423283,3670026,0.85856074,-0.04022259,-9.235394,45.166462,0,0,0,0,5
668425991,668425773,3670026,-1.1631032,2.9022512,-11.840285,45.249695,0,0,0,0,5
668428476,668428260,3670026,1.2234371,0.47022122,-12.025118,45.225216,0,0,0,0,5
