timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
5596352,1200.0,1.0,727.9121,0.0,73,0,41.765446,8,0,0,0,0,0.0,0,0,1,1,1,1,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6523595,1200.0,1.0,671.2878,0.0,89,0,41.584198,10,0,0,0,0,0.0,0,0,1,1,1,1,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6797711,1200.0,1.0,671.2878,0.0,91,0,41.584198,11,0,0,0,0,0.0,0,0,1,1,1,1,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7551676,1200.0,1.0,730.49445,0.0,107,0,41.913616,12,0,0,0,0,0.0,0,0,1,1,1,1,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7837109,1200.0,1.0,730.49445,0.0,110,0,41.913616,13,0,0,0,0,0.0,0,0,1,1,1,1,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8593580,1200.0,1.0,613.3585,0.0,124,0,41.752117,14,0,0,0,0,0.0,0,0,1,1,1,1,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8874758,1200.0,1.0,613.3585,0.0,126,0,41.752117,15,0,0,0,0,0.0,0,0,1,1,1,1,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9622982,1200.0,1.0,730.53815,0.0,142,0,41.916122,16,0,0,0,0,0.0,0,0,1,1,1,1,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9792739,1200.0,1.0,730.53815,0.0,143,0,41.916122,17,0,0,0,0,0.0,0,0,1,1,1,1,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10543989,1200.0,1.0,611.9896,0.0,158,0,41.658936,18,0,0,0,0,0.0,0,0,1,1,1,1,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
