timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
5697531,5.043457,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5707537,5.0756836,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5717530,5.053125,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5727523,5.077295,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5737536,5.0724607,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6187677,5.030566,3.3112793,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6197590,5.0563474,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6207567,5.057959,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6217530,5.053125,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6227530,5.041846,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6237537,5.038623,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6247539,5.0724607,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6257538,5.0756836,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6267555,5.0450683,3.3241699,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6277528,5.077295,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6287525,5.08374,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6297533,5.0740724,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6307527,5.077295,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6317527,5.062793,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6327527,5.0128417,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6337534,5.0208983,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6347527,5.054736,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6357532,5.078906,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6367554,5.0563474,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6377543,5.0853515,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6387543,5.0515137,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6397537,5.0708494,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6407546,5.082129,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6417623,5.0450683,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6427630,5.0660157,3.314502,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6437569,5.0370116,3.3241699,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6447575,5.067627,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6457488,5.043457,3.3177245,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6467485,5.0740724,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6477532,5.0756836,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6487527,5.0611815,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6497529,5.0724607,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6507554,5.077295,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6517557,5.054736,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6527586,5.067627,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6537603,5.077295,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6547605,5.062793,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6557526,5.0321774,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6567527,5.057959,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6577540,5.0466795,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6587535,5.078906,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6597523,5.0370116,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6607521,5.0515137,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6617529,5.0563474,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
6627546,5.0499024,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
