timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],temperature_accel,temperature_gyro
7226818,3932170,3932170,0,0,0,0,0,799.9076,799.9076,3998.6426,7997.285,0.0005428555,0.00012027489,2.586913e-07,1.9818574,-0.0024630034,-9.377894,-0.19811644,-0.41156077,0.41698548,27.594864,27.594864
7326831,3932170,3932170,0,0,0,0,0,799.9076,799.9076,3998.6426,7997.285,0.00050495996,0.000120883786,2.9584444e-07,1.4610157,0.19560471,-9.468634,0.15013386,-0.66464037,0.43959558,27.594858,27.594858
7426845,3932170,3932170,0,0,0,0,0,799.9076,799.9076,3998.6426,7997.285,0.0005404024,0.000121525605,2.709855e-07,1.4433465,-0.010567166,-9.9689865,0.28465673,-0.574692,0.29468906,27.594858,27.594858
7526892,3932170,3932170,0,0,0,0,0,799.9076,799.9076,3998.6426,7997.285,0.00057309517,0.00013164406,2.621749e-07,1.1950576,-0.41257432,-10.393249,0.04039762,0.062174305,0.20640188,27.594858,27.594858
7631846,3932170,3932170,0,0,0,0,0,799.9076,799.9076,3998.6426,7997.285,0.0005454318,0.00013277469,2.422835e-07,1.0578368,-0.52697825,-9.514148,-0.15343297,0.111623615,-0.05581005,27.594864,27.594864
7731906,3932170,3932170,0,0,0,0,0,799.9076,799.9076,3998.6426,7997.285,0.0006321261,0.00013307303,2.2631794e-07,0.6681881,0.20274788,-9.88745,0.055918545,-0.15514162,-0.11658494,27.594858,27.594858
7836809,3932170,3932170,0,0,0,0,0,799.9076,799.9076,3998.6426,7997.285,0.00059453247,0.000119896526,1.9418725e-07,0.49266824,0.029481592,-9.518193,0.1780025,0.06581662,0.05823158,27.594864,27.594864
7936820,3932170,3932170,0,0,0,0,0,799.9076,799.9076,3998.6426,7997.285,0.00055678515,0.00011070564,1.7261561e-07,1.0398829,-0.45931235,-9.78667,0.27906945,0.037595324,0.23569398,27.594858,27.594858
8041814,3932170,3932170,0,0,0,0,0,799.9076,799.9076,3998.6426,7997.285,0.00056018296,0.00010380677,1.5389475e-07,1.2120718,-1.3042868,-9.756385,0.11370047,0.042485427,0.24613288,27.633324,27.633324
8146828,3932170,3932170,0,0,0,0,0,799.9076,799.9076,3998.6426,7997.285,0.00052254647,0.00010794789,1.3917345e-07,1.9467613,-1.3453436,-9.572198,-0.035011105,-0.12420435,-0.0036184196,27.692772,27.692772
8246880,3932170,3932170,0,0,0,0,0,799.9076,799.9076,3998.6426,7997.285,0.00054034113,0.00011518201,1.63585e-07,1.7374395,-1.067432,-9.910909,-0.14194699,-0.3067841,-0.51685673,27.692768,27.692768
8351823,3932170,3932170,0,0,0,0,0,799.9076,799.9076,3998.6426,7997.285,0.0005335553,0.00011889365,2.4086623e-07,0.5414741,-0.6464099,-10.278854,-0.20820412,0.00044808537,-0.88117075,27.692772,27.692772
8456812,3932170,3932170,0,0,0,0,0,799.9076,799.9076,3998.6426,7997.285,0.0006054091,0.000114477254,2.827936e-07,-0.18852702,-1.0410645,-9.806172,-0.1475138,0.4193335,-0.9612886,27.692772,27.692772
8556995,3932170,3932170,0,0,0,0,0,799.9076,799.9076,3998.6426,7997.285,0.00090783555,0.00012650386,3.4988403e-07,0.06954315,0.027603738,-9.352372,-0.22609359,0.5899496,-0.7566759,27.692768,27.692768
