timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
5701037,5699903,396809,-0.10510169,-0.22790669,0.48715898,3
5722510,5721532,396809,-0.10283261,-0.22640072,0.48627156,3
6192678,6191695,396809,-0.10199512,-0.22562595,0.4830088,3
6213911,6212935,396809,-0.1020792,-0.2256578,0.4862426,3
6235149,6234169,396809,-0.105044074,-0.22570659,0.48632666,3
6256863,6255853,396809,-0.10061778,-0.22564137,0.487009,3
6278100,6277122,396809,-0.10139559,-0.2278457,0.4870539,3
6299442,6298364,396809,-0.099306874,-0.22713415,0.492642,3
6320733,6319704,396809,-0.10136237,-0.22710703,0.4862375,3
6341931,6340952,396809,-0.09929805,-0.2278569,0.4918415,3
6363607,6362611,396809,-0.10143763,-0.22786163,0.4886708,3
6384858,6383866,396809,-0.09992535,-0.22855203,0.4870198,3
6406125,6405123,396809,-0.09978365,-0.22632007,0.4829537,3
6427358,6426386,396809,-0.10300415,-0.22791788,0.4919466,3
6448738,6447630,396809,-0.102814965,-0.2278462,0.4846706,3
6470425,6469390,396809,-0.101413235,-0.22640021,0.48865485,3
6492052,6491075,396809,-0.10211579,-0.22784995,0.48626646,3
6513417,6512328,396809,-0.10065437,-0.22783351,0.48703286,3
6534720,6533746,396809,-0.100780495,-0.2278813,0.49188355,3
6556005,6555032,396809,-0.0991753,-0.22926259,0.4861983,3
6577833,6576811,396809,-0.099808045,-0.2277815,0.48296964,3
6599049,6598077,396809,-0.09901258,-0.22702266,0.48132375,3
6620841,6619867,396809,-0.09917193,-0.22780912,0.48699084,3
6642069,6641097,396809,-0.099184126,-0.22853982,0.4869988,3
6663304,6662332,396809,-0.10066657,-0.22856422,0.48704085,3
6685131,6684040,396809,-0.09987448,-0.22925885,0.48460245,3
6706380,6705371,396809,-0.099028155,-0.22920685,0.4805392,3
6727582,6726602,396809,-0.09843408,-0.22925039,0.4861773,3
6748815,6747843,396809,-0.09985682,-0.23070435,0.48300147,3
6770056,6769074,396809,-0.09982024,-0.22851221,0.4829776,3
6791789,6790790,396809,-0.099250555,-0.23001719,0.4886316,3
7432152,7431182,396809,-0.10129594,-0.22562967,0.48460466,3
7453385,7452411,396809,-0.10126609,-0.22634447,0.48299575,3
7474785,7473793,396809,-0.10201951,-0.22708738,0.48302472,3
7496032,7495057,396809,-0.10139559,-0.2278457,0.4870539,3
7517396,7516293,396809,-0.09832561,-0.22775711,0.4829276,3
7539021,7538051,396809,-0.10214901,-0.22858861,0.48708287,3
7560250,7559279,396809,-0.103661284,-0.22789823,0.48873386,3
7581481,7580508,396809,-0.10439031,-0.2271797,0.4887469,3
7602724,7601753,396809,-0.102191046,-0.22860454,0.48869976,3
7624054,7623056,396809,-0.10073845,-0.22786537,0.49026665,3
7645675,7644697,396809,-0.102857,-0.22786213,0.4862875,3
7666905,7665932,396809,-0.102814965,-0.2278462,0.4846706,3
7688135,7687165,396809,-0.10436384,-0.22934796,0.48634547,3
7709370,7708394,396809,-0.10282716,-0.22857693,0.48467857,3
7730802,7729827,396809,-0.102944456,-0.22934745,0.48872876,3
7752520,7751497,396809,-0.10057366,-0.22925512,0.48300657,3
7773838,7772779,396809,-0.102191046,-0.22860454,0.48869976,3
7794984,7794012,396809,-0.100633346,-0.22782555,0.48622444,3
7816222,7815244,396809,-0.101968646,-0.2277942,0.48060736,3
7837460,7836481,396809,-0.10273088,-0.22781435,0.48143682,3
7859680,7858704,396809,-0.10207375,-0.22783402,0.48464957,3
7880913,7879938,396809,-0.10065774,-0.22928698,0.48624036,3
7902147,7901169,396809,-0.10130268,-0.2285366,0.48301962,3
7923385,7922409,396809,-0.10290242,-0.22933152,0.48711187,3
7944674,7943692,396809,-0.10139896,-0.22929917,0.48626137,3
7966370,7965363,396809,-0.10056146,-0.2285244,0.4829986,3
7987657,7986629,396809,-0.100603506,-0.22854033,0.4846155,3
8008887,8007915,396809,-0.10129049,-0.22780588,0.48301166,3
8030148,8029145,396809,-0.10138676,-0.22856846,0.4862534,3
8051387,8050408,396809,-0.09992535,-0.22855203,0.4870198,3
8073022,8072047,396809,-0.099862285,-0.22852814,0.4845945,3
