timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
5489995,5489032,396809,0.15167803,-0.19280216,0.45855284,3
5511220,5510255,396809,0.15096666,-0.19352913,0.4569649,3
5532452,5531476,396809,0.15162925,-0.19572501,0.45858467,3
5553670,5552700,396809,0.15172006,-0.19278623,0.45693594,3
5574902,5573940,396809,0.15020104,-0.19500275,0.45700186,3
5596690,5595693,396809,0.15253656,-0.19201943,0.45448163,3
5617882,5616915,396809,0.15030068,-0.19278672,0.45455265,3
5639106,5638134,396809,0.15115921,-0.19200401,0.45048144,3
5660324,5659360,396809,0.15395257,-0.1934724,0.4560724,3
5681547,5680583,396809,0.15101208,-0.19205976,0.45614055,3
5703314,5702317,396809,0.15101208,-0.19205976,0.45614055,3
5724561,5723590,396809,0.15096666,-0.19352913,0.4569649,3
5745933,5744827,396809,0.15030068,-0.19278672,0.45455265,3
5767191,5766194,396809,0.15027085,-0.19207194,0.45616156,3
5788451,5787443,396809,0.15394373,-0.19274963,0.45687288,3
5810075,5809105,396809,0.15321136,-0.19348459,0.4560934,3
5831297,5830331,396809,0.15173227,-0.19205551,0.45692798,3
5852644,5851647,396809,0.15097885,-0.19279842,0.45695695,3
5873887,5872917,396809,0.15175329,-0.19204755,0.45611954,3
5895217,5894137,396809,0.15174109,-0.19277827,0.4561275,3
5917013,5916041,396809,0.15320252,-0.19276184,0.4568939,3
5938229,5937264,396809,0.15393154,-0.19348036,0.45688084,3
5959462,5958497,396809,0.1546938,-0.1934602,0.45605138,3
5980840,5979850,396809,0.15311843,-0.1927937,0.46012768,3
6002075,6001111,396809,0.15247013,-0.19349678,0.45611444,3
6023747,6022756,396809,0.15174109,-0.19277827,0.4561275,3
6045011,6044001,396809,0.15406103,-0.19197911,0.4528227,3
6066779,6065504,396809,0.15236501,-0.1935366,0.46015665,3
6087708,6086725,396809,0.15156072,-0.19357269,0.462603,3
6108928,6107963,396809,0.15317813,-0.19422325,0.45690984,3
