timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
4979485,5.077295,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
4989483,5.0740724,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
4999570,5.054736,3.3161132,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5009516,5.0515137,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5019482,5.0482907,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5029491,5.0611815,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5039534,5.0354004,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5049529,5.0208983,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5059562,5.082129,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5069535,5.054736,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5079559,5.057959,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5089536,5.053125,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5099559,5.0595703,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5109501,5.0466795,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5119483,5.053125,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5129487,5.0499024,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5139489,5.0563474,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5149515,5.030566,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5159489,5.033789,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5169493,5.0466795,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5179486,5.0370116,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5189491,5.016064,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5199492,5.0208983,3.3112793,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5209490,5.0515137,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5219566,5.082129,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5229489,5.0563474,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5239486,5.057959,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5249486,5.0563474,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5259518,5.0112305,3.3177245,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5269514,5.017676,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5279487,5.0273438,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5289561,5.0515137,3.3177245,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5299585,5.064404,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5309534,5.0595703,3.3161132,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5319588,5.014453,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5329534,5.043457,3.3241699,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5339539,5.091797,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5349537,5.057959,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5359552,5.041846,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5369550,5.069238,3.3241699,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5379502,5.017676,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5389508,5.0354004,3.3161132,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5399499,5.024121,3.3241699,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5409486,5.019287,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5419487,5.0208983,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
5429511,5.041846,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
