timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
3095329,3094409,396825,0.18181817,-0.61287874,0.58560604,nan,0,0
3116549,3115633,396825,0.18484847,-0.6136363,0.5871212,nan,0,0
3138299,3137347,396825,0.18560605,-0.61287874,0.5871212,nan,0,0
3159537,3158624,396825,0.18333332,-0.61287874,0.5871212,nan,0,0
3180754,3179839,396825,0.18484847,-0.6113636,0.580303,nan,0,0
3202089,3201176,396825,0.18636364,-0.6113636,0.5871212,nan,0,0
3714180,3713268,396825,0.18636364,-0.6113636,0.5893939,nan,0,0
3735436,3734516,396825,0.18484847,-0.61287874,0.5840909,nan,0,0
3756774,3755849,396825,0.1810606,-0.6136363,0.58787876,nan,0,0
3778378,3777463,396825,0.18030302,-0.6136363,0.580303,nan,0,0
3799606,3798693,396825,0.18333332,-0.61287874,0.5871212,nan,0,0
3820832,3819914,396825,0.18333332,-0.61287874,0.5871212,nan,0,0
3842047,3841130,396825,0.18484847,-0.6136363,0.5893939,nan,0,0
3863272,3862356,396825,0.18030302,-0.61287874,0.58787876,nan,0,0
3885015,3884079,396825,0.18257575,-0.6136363,0.580303,nan,0,0
3906248,3905337,396825,0.17878787,-0.6136363,0.5871212,nan,0,0
3927476,3926561,396825,0.18257575,-0.6151515,0.5840909,nan,0,0
3948894,3947963,396825,0.18257575,-0.61212116,0.5833333,nan,0,0
3970149,3969200,396825,0.1840909,-0.6136363,0.58560604,nan,0,0
3991765,3990837,396825,0.18560605,-0.61439395,0.5901515,nan,0,0
4012993,4012072,396825,0.18030302,-0.61212116,0.5833333,nan,0,0
4034306,4033394,396825,0.18181817,-0.61439395,0.5833333,nan,0,0
4055610,4054694,396825,0.18333332,-0.61439395,0.5893939,nan,0,0
4076938,4075911,396825,0.18257575,-0.6151515,0.59166664,nan,0,0
4098536,4097623,396825,0.18333332,-0.61212116,0.5833333,nan,0,0
4119746,4118834,396825,0.1840909,-0.6136363,0.5901515,nan,0,0
4140959,4140043,396825,0.1840909,-0.61439395,0.58787876,nan,0,0
4162190,4161256,396825,0.18181817,-0.6136363,0.59166664,nan,0,0
4183405,4182493,396825,0.18484847,-0.61287874,0.58787876,nan,0,0
4205003,4204092,396825,0.18484847,-0.61287874,0.5871212,nan,0,0
4226349,4225438,396825,0.18181817,-0.61212116,0.59393936,nan,0,0
4247607,4246692,396825,0.18333332,-0.61287874,0.5833333,nan,0,0
4268862,4267945,396825,0.18257575,-0.61212116,0.5840909,nan,0,0
4290145,4289234,396825,0.18484847,-0.61439395,0.59166664,nan,0,0
4311821,4310908,396825,0.18333332,-0.6136363,0.58560604,nan,0,0
4333083,4332171,396825,0.18257575,-0.61287874,0.5840909,nan,0,0
4354295,4353384,396825,0.18484847,-0.61439395,0.5871212,nan,0,0
4375517,4374593,396825,0.18030302,-0.6136363,0.5840909,nan,0,0
4396804,4395819,396825,0.18030302,-0.61212116,0.58560604,nan,0,0
4418407,4417495,396825,0.18333332,-0.61287874,0.58560604,nan,0,0
4439616,4438704,396825,0.1840909,-0.6136363,0.5931818,nan,0,0
4460827,4459915,396825,0.18181817,-0.61287874,0.5893939,nan,0,0
4482050,4481135,396825,0.18484847,-0.6136363,0.5893939,nan,0,0
4503272,4502360,396825,0.18257575,-0.61212116,0.59166664,nan,0,0
4524969,4523958,396825,0.1840909,-0.61287874,0.5871212,nan,0,0
4546182,4545265,396825,0.18560605,-0.6113636,0.58560604,nan,0,0
4567444,4566530,396825,0.18333332,-0.61287874,0.58560604,nan,0,0
4588657,4587745,396825,0.18636364,-0.61287874,0.59166664,nan,0,0
4609868,4608954,396825,0.18257575,-0.61212116,0.58560604,nan,0,0
4631514,4630603,396825,0.18333332,-0.61287874,0.58787876,nan,0,0
4652839,4651926,396825,0.18484847,-0.6136363,0.58787876,nan,0,0
4674176,4673265,396825,0.18560605,-0.6113636,0.5893939,nan,0,0
4695503,4694474,396825,0.18333332,-0.6136363,0.58787876,nan,0,0
4716719,4715808,396825,0.18560605,-0.61439395,0.5893939,nan,0,0
4738316,4737405,396825,0.18257575,-0.6136363,0.5893939,nan,0,0
4759526,4758614,396825,0.18560605,-0.6136363,0.5871212,nan,0,0
4780740,4779829,396825,0.18636364,-0.61212116,0.5840909,nan,0,0
4801951,4801037,396825,0.1840909,-0.61212116,0.5901515,nan,0,0
4823199,4822252,396825,0.1810606,-0.6136363,0.5893939,nan,0,0
4844881,4843967,396825,0.18484847,-0.61212116,0.5833333,nan,0,0
4866100,4865189,396825,0.18484847,-0.6113636,0.580303,nan,0,0
