timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
5699807,5695192,396825,-0.119476564,-0.28017554,0.45061043,3
5721085,5716834,396825,-0.117983334,-0.28036055,0.4521595,3
5742558,5738057,396825,-0.12252815,-0.280421,0.4529992,3
6191440,6186363,396825,-0.12020913,-0.27914637,0.44818026,3
6212733,6207589,396825,-0.119481,-0.2778052,0.4495628,3
6233955,6228891,396825,-0.11941612,-0.28040877,0.44599524,3
6255193,6250537,396825,-0.118011266,-0.28062433,0.45451105,3
6277030,6271765,396825,-0.11948115,-0.27941474,0.45052248,3
6298172,6292991,396825,-0.11946266,-0.28084838,0.4499145,3
6319490,6314314,396825,-0.11789483,-0.27872047,0.4442331,3
6340786,6335583,396825,-0.1247167,-0.2788551,0.44588456,3
6362026,6357221,396825,-0.12020941,-0.2823654,0.45009968,3
6383653,6378452,396825,-0.116429545,-0.2791693,0.4481337,3
6404903,6399695,396825,-0.1186741,-0.27974048,0.44668186,3
6426316,6420935,396825,-0.11872523,-0.27941933,0.45051318,3
6447470,6442179,396825,-0.11942071,-0.27964798,0.44590732,3
6468793,6463820,396825,-0.11799723,-0.27968767,0.45285544,3
6490475,6485191,396825,-0.11870188,-0.27839476,0.44807371,3
6512141,6506415,396825,-0.1202465,-0.2811076,0.45227537,3
6533469,6527695,396825,-0.11873467,-0.28111675,0.45225674,3
6554770,6548915,396825,-0.11878581,-0.2807956,0.45608807,3
6576087,6570609,396825,-0.12099297,-0.27940556,0.4505411,3
6597978,6591862,396825,-0.11644358,-0.28010595,0.44978935,3
6619160,6613084,396825,-0.11871592,-0.2793314,0.44972932,3
6640885,6634411,396825,-0.12024192,-0.2818684,0.45236328,3
6662116,6655629,396825,-0.11872551,-0.28263834,0.4524326,3
6683346,6677269,396825,-0.12097908,-0.28007844,0.4498452,3
6705190,6698553,396825,-0.11793707,-0.28313994,0.45015967,3
6726425,6719899,396825,-0.12025123,-0.28195632,0.45314714,3
6747625,6741152,396825,-0.12099297,-0.27940556,0.4505411,3
6768860,6762372,396825,-0.115613334,-0.28101662,0.44446895,3
6790101,6784093,396825,-0.11725076,-0.2813897,0.45458966,3
6875590,6869157,396825,-0.12023275,-0.28339,0.45253915,3
7430566,7424139,396825,-0.11802544,-0.2831705,0.45712638,3
7452196,7445359,396825,-0.118702166,-0.28161377,0.4499931,3
7473432,7466601,396825,-0.11797889,-0.28273088,0.45320714,3
7494966,7487875,396825,-0.11639717,-0.2812758,0.4468298,3
7516116,7509092,396825,-0.119453214,-0.27915096,0.44817096,3
7537531,7530732,396825,-0.117111415,-0.28328982,0.44475132,3
7559069,7551998,396825,-0.11647623,-0.28121844,0.45301268,3
7580295,7573300,396825,-0.12097922,-0.28168795,0.4508049,3
7601524,7594560,396825,-0.11943946,-0.28143334,0.44843474,3
7622788,7615779,396825,-0.12093267,-0.2812483,0.44688565,3
