timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
1118437,1118148,3670026,0.8671799,-0.8010999,-9.783187,34.615665,0,0,0,0,5
1119685,1119393,3670026,0.7785944,-0.8283938,-9.756372,34.5716,0,0,0,0,5
1120926,1120641,3670026,0.8360552,-0.7776367,-9.753499,34.605877,0,0,0,0,5
1122162,1121882,3670026,0.8293515,-0.79535383,-9.737698,34.581394,0,0,0,0,5
1125894,1125615,3670026,0.8461109,-0.7584831,-9.720459,34.615665,0,0,0,0,5
1129679,1129347,3670026,0.8671799,-0.7096414,-9.685504,34.47858,0,0,0,0,5
1133366,1133079,3670026,0.8312668,-0.5956774,-9.590215,34.556915,0,0,0,0,5
1135857,1135569,3670026,0.80205756,-0.4745308,-9.615593,34.591187,0,0,0,0,5
1139593,1139304,3670026,0.85856074,-0.49081135,-9.668265,34.532436,0,0,0,0,5
1143317,1143033,3670026,0.9461885,-0.4261679,-9.682152,34.561813,0,0,0,0,5
1147041,1146766,3670026,0.9744401,-0.47022122,-9.60027,34.615665,0,0,0,0,5
1150790,1150507,3670026,0.9078813,-0.49081135,-9.665392,34.53733,0,0,0,0,5
1154517,1154233,3670026,0.8662222,-0.45298296,-9.724769,34.596085,0,0,0,0,5
1157004,1156721,3670026,0.833661,-0.44580036,-9.728121,34.54223,0,0,0,0,5
1160740,1160456,3670026,0.7565677,-0.39408562,-9.692207,34.5765,0,0,0,0,5
1164473,1164187,3670026,0.70437413,-0.37780502,-9.751584,34.615665,0,0,0,0,5
1168202,1167920,3670026,0.566947,-0.2480393,-9.679757,34.561813,0,0,0,0,5
1171935,1171653,3670026,0.6679823,-0.27198133,-9.83155,34.581394,0,0,0,0,5
1174422,1174142,3670026,0.71490866,-0.26862943,-10.025002,34.61077,0,0,0,0,5
1178156,1177876,3670026,0.74363905,-0.19153614,-10.287406,34.586292,0,0,0,0,5
1181886,1181608,3670026,0.8652645,-0.31172505,-10.481337,34.561813,0,0,0,0,5
1185622,1185342,3670026,0.94762504,-0.43526587,-10.289321,34.60098,0,0,0,0,5
1189355,1189075,3670026,0.80062103,-0.39456445,-10.15381,34.566708,0,0,0,0,5
1191845,1191564,3670026,0.7565677,-0.44819456,-10.162429,34.556915,0,0,0,0,5
1195579,1195296,3670026,0.75991964,-0.41276038,-10.134656,34.566708,0,0,0,0,5
1199312,1199029,3670026,0.7110779,-0.32944214,-10.108799,34.591187,0,0,0,0,5
1203046,1202763,3670026,0.7465121,-0.2930503,-10.268252,34.605877,0,0,0,0,5
1206772,1206495,3670026,0.875799,-0.27676973,-10.371682,34.561813,0,0,0,0,5
1209266,1208983,3670026,0.9457097,-0.28682536,-10.3673725,34.586292,0,0,0,0,5
1213000,1212714,3670026,0.89830446,-0.17525557,-10.268731,34.5765,0,0,0,0,5
1216763,1216473,3670026,0.8738836,-0.30645782,-10.414299,34.556915,0,0,0,0,5
1220502,1220217,3670026,0.93134445,-0.32609028,-10.348698,34.61077,0,0,0,0,5
1224239,1223961,3670026,0.8614338,-0.44053313,-10.344388,34.630356,0,0,0,0,5
1226742,1226466,3670026,0.8049306,-0.55401826,-10.332417,34.605877,0,0,0,0,5
1230490,1230214,3670026,0.77667904,-0.5032612,-10.144233,34.54223,0,0,0,0,5
1234239,1233965,3670026,0.64499795,-0.37397432,-9.788454,34.61077,0,0,0,0,5
1238001,1237716,3670026,0.6703765,-0.5291186,-9.836338,34.615665,0,0,0,0,5
1243001,1242715,3670026,0.9069236,-0.4879383,-9.956528,34.630356,0,0,0,0,5
1244248,1243967,3670026,0.8868123,-0.4903325,-10.028832,34.630356,0,0,0,0,5
1248003,1247723,3670026,0.8892065,-0.4745308,-10.042719,34.620564,0,0,0,0,5
1251759,1251478,3670026,0.82552075,-0.41228154,-10.047029,34.591187,0,0,0,0,5
1255311,1255028,3670026,0.76039845,-0.35529953,-9.997229,34.615665,0,0,0,0,5
1259044,1258757,3670026,0.76949644,-0.36104563,-9.900982,34.620564,0,0,0,0,5
1262783,1262493,3670026,0.80062103,-0.3476381,-9.867463,34.605877,0,0,0,0,5
1266499,1266224,3670026,0.7570466,-0.3217807,-9.719023,34.581394,0,0,0,0,5
1269003,1268719,3670026,0.7723695,-0.29831752,-9.741049,34.605877,0,0,0,0,5
1272739,1272445,3670026,0.76231384,-0.28060043,-9.629958,34.630356,0,0,0,0,5
1276465,1276178,3670026,0.77907324,-0.29496565,-9.611762,34.60098,0,0,0,0,5
1280206,1279911,3670026,0.79104424,-0.32609028,-9.629479,34.586292,0,0,0,0,5
1283931,1283646,3670026,0.7656657,-0.36487633,-9.712797,34.5765,0,0,0,0,5
1286416,1286134,3670026,0.7800309,-0.35625723,-9.738176,34.547123,0,0,0,0,5
1290141,1289866,3670026,0.70820487,-0.40462008,-9.825325,34.654835,0,0,0,0,5
1293885,1293599,3670026,0.6464345,-0.39839518,-9.870336,34.605877,0,0,0,0,5
1297620,1297333,3670026,0.7302315,-0.42808327,-9.932586,34.64015,0,0,0,0,5
1301355,1301065,3670026,0.7134721,-0.4639963,-9.978075,34.615665,0,0,0,0,5
1303840,1303554,3670026,0.72975266,-0.49943048,-10.019256,34.620564,0,0,0,0,5
1307585,1307288,3670026,0.7469909,-0.48602295,-10.028354,34.63525,0,0,0,0,5
1311313,1311020,3670026,0.74603325,-0.44053313,-10.040803,34.659733,0,0,0,0,5
1315034,1314753,3670026,0.7560889,-0.4381389,-9.996271,34.60098,0,0,0,0,5
1318785,1318492,3670026,0.758962,-0.32034418,-9.965146,34.5716,0,0,0,0,5
1322506,1322220,3670026,0.740766,-0.31124622,-9.933543,34.630356,0,0,0,0,5
1324988,1324708,3670026,0.7747637,-0.28682536,-9.909601,34.64015,0,0,0,0,5
1328729,1328441,3670026,0.8432379,-0.29017726,-9.909601,34.64994,0,0,0,0,5
1332458,1332174,3670026,0.8202535,-0.29592332,-9.890448,34.630356,0,0,0,0,5
1336186,1335908,3670026,0.79056543,-0.28874072,-9.879913,34.581394,0,0,0,0,5
1339920,1339645,3670026,0.8360552,-0.26671407,-9.841605,34.630356,0,0,0,0,5
1343660,1343375,3670026,0.8226477,-0.29592332,-9.835859,34.5765,0,0,0,0,5
1346145,1345864,3670026,0.7594408,-0.29161376,-9.82724,34.620564,0,0,0,0,5
1349881,1349598,3670026,0.79487497,-0.32800564,-9.836338,34.64015,0,0,0,0,5
1353622,1353332,3670026,0.7939173,-0.33614594,-9.848788,34.664627,0,0,0,0,5
1357368,1357061,3670026,0.79583263,-0.39169142,-9.846394,34.67442,0,0,0,0,5
1359833,1359551,3670026,0.79583263,-0.36008793,-9.841605,34.61077,0,0,0,0,5
1363577,1363283,3670026,0.7560889,-0.39647982,-9.864111,34.625458,0,0,0,0,5
1367319,1367027,3670026,0.7824251,-0.3878607,-9.869857,34.566708,0,0,0,0,5
1371035,1370752,3670026,0.7896077,-0.45154646,-9.853098,34.61077,0,0,0,0,5
1374769,1374486,3670026,0.7872135,-0.44340616,-9.828677,34.591187,0,0,0,0,5
1378500,1378215,3670026,0.80684596,-0.46303862,-9.846873,34.654835,0,0,0,0,5
1380993,1380708,3670026,0.8149863,-0.443885,-9.880392,34.66952,0,0,0,0,5
1384735,1384441,3670026,0.8250419,-0.44101197,-9.829635,34.605877,0,0,0,0,5
1388461,1388172,3670026,0.7987057,-0.36822823,-9.8191,34.64015,0,0,0,0,5
1392199,1391906,3670026,0.8202535,-0.3524265,-9.816706,34.66952,0,0,0,0,5
1395923,1395642,3670026,0.85137814,-0.3217807,-9.819579,34.63525,0,0,0,0,5
1398404,1398125,3670026,0.81163436,-0.27676973,-9.806171,34.654835,0,0,0,0,5
1402148,1401861,3670026,0.8379706,-0.2786851,-9.79851,34.645042,0,0,0,0,5
1405871,1405591,3670026,0.8130709,-0.30885202,-9.853098,34.605877,0,0,0,0,5
1409619,1409337,3670026,0.842759,-0.2624045,-9.8372965,34.5765,0,0,0,0,5
1413348,1413063,3670026,0.8566454,-0.2762909,-9.838733,34.625458,0,0,0,0,5
1415833,1415546,3670026,0.8331822,-0.26048914,-9.8722515,34.67442,0,0,0,0,5
1419561,1419279,3670026,0.8595184,-0.26431987,-9.899546,34.625458,0,0,0,0,5
1423297,1423013,3670026,0.8437167,-0.26192567,-9.890448,34.586292,0,0,0,0,5
1427035,1426746,3670026,0.8259996,-0.2255338,-9.869378,34.630356,0,0,0,0,5
1430766,1430478,3670026,0.80636716,-0.22409728,-9.841126,34.659733,0,0,0,0,5
1434495,1434211,3670026,0.8101979,-0.23989901,-9.83155,34.615665,0,0,0,0,5
1436988,1436702,3670026,0.84419554,-0.19153614,-9.855013,34.64015,0,0,0,0,5
1440724,1440435,3670026,0.8499416,-0.19249383,-9.815269,34.664627,0,0,0,0,5
1444448,1444166,3670026,0.8485051,-0.1493982,-9.816706,34.679314,0,0,0,0,5
1448174,1447899,3670026,0.84419554,-0.15131354,-9.799947,34.591187,0,0,0,0,5
1451927,1451643,3670026,0.842759,-0.13982138,-9.782708,34.645042,0,0,0,0,5
1454416,1454121,3670026,0.84706855,-0.16232687,-9.788454,34.620564,0,0,0,0,5
1458138,1457855,3670026,0.8762778,-0.20398599,-9.854055,34.64994,0,0,0,0,5
1461878,1461590,3670026,0.90021986,-0.19823991,-9.844,34.64994,0,0,0,0,5
1465607,1465320,3670026,0.90261406,-0.20494367,-9.822452,34.620564,0,0,0,0,5
1469338,1469053,3670026,0.91219085,-0.18531121,-9.83969,34.620564,0,0,0,0,5
1473069,1472785,3670026,0.88393927,-0.24947582,-9.818143,34.68421,0,0,0,0,5
1475575,1475292,3670026,0.87005293,-0.2786851,-9.836817,34.67442,0,0,0,0,5
1479312,1479035,3670026,0.9064448,-0.2954445,-9.888532,34.605877,0,0,0,0,5
1483060,1482782,3670026,0.89591026,-0.32130188,-9.894757,34.64015,0,0,0,0,5
1486822,1486542,3670026,0.81594396,-0.30693665,-9.862196,34.68421,0,0,0,0,5
1489313,1489033,3670026,0.84419554,-0.30789435,-9.925881,34.620564,0,0,0,0,5
1493075,1492792,3670026,0.8432379,-0.31076738,-9.986216,34.645042,0,0,0,0,5
1496838,1496541,3670026,0.87196827,-0.29927522,-9.982385,34.68421,0,0,0,0,5
1500571,1500287,3670026,0.8949526,-0.31651348,-9.98047,34.615665,0,0,0,0,5
1504315,1504038,3670026,0.93565404,-0.3217807,-9.985737,34.659733,0,0,0,0,5
1508070,1507791,3670026,0.9045294,-0.2873042,-9.957964,34.625458,0,0,0,0,5
1510575,1510295,3670026,0.90500826,-0.26910827,-9.924445,34.659733,0,0,0,0,5
1514325,1514045,3670026,0.84467435,-0.33183637,-9.927797,34.615665,0,0,0,0,5
1517868,1517584,3670026,0.830788,-0.35529953,-9.904334,34.66952,0,0,0,0,5
1521598,1521315,3670026,0.8269573,-0.38259342,-9.950781,34.659733,0,0,0,0,5
1525330,1525050,3670026,0.83509755,-0.35434186,-9.947908,34.63525,0,0,0,0,5
1527822,1527538,3670026,0.87196827,-0.33614594,-9.972808,34.630356,0,0,0,0,5
1531559,1531271,3670026,0.8652645,-0.3830723,-10.01303,34.645042,0,0,0,0,5
1536534,1536249,3670026,0.83270335,-0.4156334,-10.019734,34.659733,0,0,0,0,5
1539024,1538737,3670026,0.86765873,-0.34715924,-10.024044,34.654835,0,0,0,0,5
1542759,1542472,3670026,0.87053174,-0.3548207,-9.986694,34.664627,0,0,0,0,5
1546503,1546204,3670026,0.88154507,-0.29209262,-9.975681,34.664627,0,0,0,0,5
1548977,1548692,3670026,0.8781932,-0.2777274,-9.97185,34.64015,0,0,0,0,5
