Time (ms),humidity (%),temperature (C*)
24380,60.00,21.40,
24464,60.00,21.40,
24547,60.00,21.40,
24630,60.00,21.40,
24713,60.00,21.40,
24797,60.00,21.40,
24880,60.00,21.40,
24963,60.00,21.40,
25046,60.00,21.40,
25129,60.00,21.40,
25212,59.00,21.30,
25295,59.00,21.30,
25378,59.00,21.30,
25461,59.00,21.30,
25545,59.00,21.30,
25628,59.00,21.30,
25711,59.00,21.30,
25794,59.00,21.30,
25878,59.00,21.30,
25961,59.00,21.30,
26044,59.00,21.30,
26127,59.00,21.30,
26211,59.00,21.30,
26294,59.00,21.30,
26377,59.00,21.30,
26460,59.00,21.30,
26544,59.00,21.30,
26627,59.00,21.30,
26710,59.00,21.30,
26792,59.00,21.30,
26876,59.00,21.30,
26959,59.00,21.30,
27042,59.00,21.30,
27125,59.00,21.30,
27209,59.00,21.30,
27292,59.00,21.20,
27375,59.00,21.20,
27458,59.00,21.20,
27541,59.00,21.20,
27624,59.00,21.20,
27708,59.00,21.20,
27791,59.00,21.20,
27874,59.00,21.20,
27957,59.00,21.20,
28041,59.00,21.20,
28124,59.00,21.20,
28207,59.00,21.20,
28290,59.00,21.20,
28374,59.00,21.20,
28456,59.00,21.20,
28539,59.00,21.20,
28622,59.00,21.20,
28706,59.00,21.20,
28789,59.00,21.20,
28872,59.00,21.20,
28955,59.00,21.20,
29039,59.00,21.20,
29122,59.00,21.20,
29205,59.00,21.20,
29288,59.00,21.20,
29372,59.00,21.30,
29455,59.00,21.30,
29538,59.00,21.30,
29621,59.00,21.30,
29705,59.00,21.30,
29788,59.00,21.30,
29871,59.00,21.30,
29954,59.00,21.30,
30038,59.00,21.30,
30120,59.00,21.30,
30203,59.00,21.30,
30286,59.00,21.30,
30370,59.00,21.30,
30453,59.00,21.30,
30536,59.00,21.30,
30619,59.00,21.30,
30703,59.00,21.30,
30786,59.00,21.30,
30869,59.00,21.30,
30952,59.00,21.30,
31036,59.00,21.30,
31119,59.00,21.30,
31202,59.00,21.30,
