timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
1087035,inf,0,1,1,1,0,0,1,1,0,1
2094246,inf,0,1,1,1,0,0,1,0,0,1
3094577,inf,0,1,1,1,0,0,1,0,0,1
4094673,inf,0,1,1,1,0,0,1,0,0,1
5095028,inf,0,1,1,1,0,0,1,0,0,1
6098873,inf,0,1,1,1,0,0,1,0,0,1
7108930,inf,0,1,1,1,0,0,1,0,0,1
8109027,inf,0,1,1,1,0,0,1,0,0,1
9119077,inf,0,1,1,1,0,0,1,0,0,1
10119135,inf,0,1,1,1,0,0,1,0,0,1
11119144,inf,0,1,1,1,0,0,1,0,0,1
12119262,inf,0,1,1,1,0,0,1,0,0,1
13119508,inf,0,1,1,1,0,0,1,0,0,1
14129468,inf,0,1,1,1,0,0,1,0,0,1
15129480,inf,0,1,1,1,0,0,1,0,0,1
16129544,inf,0,1,1,1,0,0,1,0,0,1
17129609,inf,0,1,1,1,0,0,1,0,0,1
18129742,inf,0,1,1,1,0,0,1,0,0,1
19139903,inf,0,1,1,1,0,0,1,0,0,1
20139979,inf,0,1,1,1,0,0,1,0,0,1
21141155,inf,0,1,1,1,0,0,1,0,0,1
22142510,inf,0,1,1,1,0,0,1,0,0,1
23143803,inf,0,1,1,1,0,0,1,0,0,1
24143832,inf,0,1,1,1,0,0,1,0,0,1
25146006,inf,0,1,1,1,0,0,1,0,0,1
26146629,inf,0,1,1,1,0,0,1,0,0,1
27147962,inf,0,1,1,1,0,0,1,0,0,1
28149219,inf,0,1,1,1,0,0,1,0,0,1
29149445,inf,0,1,1,1,0,0,1,0,0,1
30159229,inf,0,1,1,1,0,0,1,0,0,1
31160704,inf,0,1,1,1,0,0,1,0,0,1
32162898,inf,0,1,1,1,0,0,1,0,0,1
33164674,inf,0,1,1,1,0,0,1,0,0,1
34164806,inf,0,1,1,1,0,0,1,0,0,1
35164819,inf,0,1,1,1,0,0,1,0,0,1
36164966,inf,0,1,1,1,0,0,1,0,0,1
37165087,inf,0,1,1,1,0,0,1,0,0,1
38175188,inf,0,1,1,1,0,0,1,0,0,1
39175222,inf,0,1,1,1,0,0,1,0,0,1
40175293,inf,0,1,1,1,0,0,1,0,0,1
