timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
2631991,2631062,396809,-0.15151514,-0.12348484,0.44242424,nan,0,1
2653261,2652335,396809,-0.15303029,-0.12424242,0.4462121,nan,0,1
2674607,2673570,396809,-0.15227272,-0.12272727,0.44469696,nan,0,1
2695849,2694917,396809,-0.15303029,-0.12499999,0.4439394,nan,0,1
2717477,2716550,396809,-0.15151514,-0.12348484,0.44242424,nan,0,1
2738717,2737791,396809,-0.15227272,-0.12499999,0.44772726,nan,0,1
2759972,2759045,396809,-0.15303029,-0.12424242,0.44242424,nan,0,1
2781313,2780362,396809,-0.15151514,-0.12424242,0.4462121,nan,0,1
2802590,2801621,396809,-0.15530303,-0.12348484,0.44772726,nan,0,1
2824220,2823292,396809,-0.15454546,-0.12499999,0.4462121,nan,0,1
2845458,2844527,396809,-0.15530303,-0.12272727,0.44469696,nan,0,1
2866692,2865766,396809,-0.15378788,-0.12424242,0.4439394,nan,0,1
2887962,2887005,396809,-0.15530303,-0.12575758,0.45,nan,0,1
2909229,2908293,396809,-0.15454546,-0.12348484,0.4492424,nan,0,1
2930964,2930037,396809,-0.15530303,-0.12575758,0.44772726,nan,0,1
2952199,2951273,396809,-0.15454546,-0.12499999,0.4462121,nan,0,1
2973435,2972506,396809,-0.15454546,-0.12499999,0.4462121,nan,0,1
2994672,2993742,396809,-0.15378788,-0.12424242,0.4439394,nan,0,1
3015913,3014987,396809,-0.15378788,-0.12424242,0.44469696,nan,0,1
3037564,3036632,396809,-0.15227272,-0.12348484,0.44242424,nan,0,1
3058804,3057878,396809,-0.15378788,-0.12499999,0.4439394,nan,0,1
3080151,3079111,396809,-0.15075757,-0.12575758,0.44469696,nan,0,1
3101506,3100578,396809,-0.14999999,-0.12575758,0.44772726,nan,0,1
3122752,3121818,396809,-0.15227272,-0.12651515,0.4492424,nan,0,1
3144491,3143566,396809,-0.15227272,-0.12575758,0.4462121,nan,0,1
3165752,3164825,396809,-0.15303029,-0.12499999,0.44242424,nan,0,1
3186988,3186058,396809,-0.15151514,-0.12575758,0.43939394,nan,0,1
3208342,3207415,396809,-0.15303029,-0.12424242,0.44772726,nan,0,1
3229623,3228696,396809,-0.15075757,-0.12424242,0.44242424,nan,0,1
3251312,3250378,396809,-0.15151514,-0.12651515,0.4439394,nan,0,1
3272572,3271622,396809,-0.15151514,-0.12499999,0.44469696,nan,0,1
3293816,3292882,396809,-0.15151514,-0.12499999,0.44469696,nan,0,1
3315087,3314124,396809,-0.15075757,-0.12575758,0.44469696,nan,0,1
3336403,3335434,396809,-0.15151514,-0.12424242,0.44469696,nan,0,1
3358043,3357114,396809,-0.15151514,-0.12575758,0.4439394,nan,0,1
3379283,3378351,396809,-0.15075757,-0.12499999,0.43939394,nan,0,1
3400517,3399591,396809,-0.14924242,-0.12499999,0.43863636,nan,0,1
3421757,3420826,396809,-0.15075757,-0.12499999,0.43939394,nan,0,1
3443035,3442108,396809,-0.14999999,-0.12499999,0.4462121,nan,0,1
3464730,3463804,396809,-0.15227272,-0.12499999,0.44242424,nan,0,1
3485980,3485054,396809,-0.14924242,-0.12651515,0.4409091,nan,0,1
3507227,3506302,396809,-0.15075757,-0.12651515,0.4462121,nan,0,1
3528477,3527551,396809,-0.15075757,-0.12575758,0.44242424,nan,0,1
3549726,3548799,396809,-0.14999999,-0.12727273,0.4462121,nan,0,1
3571491,3570514,396809,-0.14924242,-0.12499999,0.44242424,nan,0,1
3592832,3591876,396809,-0.14999999,-0.12575758,0.4492424,nan,0,1
3614073,3613148,396809,-0.14999999,-0.12424242,0.44772726,nan,0,1
3635309,3634382,396809,-0.14924242,-0.12575758,0.44469696,nan,0,1
3656558,3655625,396809,-0.14924242,-0.12727273,0.4439394,nan,0,1
3678244,3677316,396809,-0.14924242,-0.12575758,0.4439394,nan,0,1
3699481,3698552,396809,-0.15378788,-0.12727273,0.44469696,nan,0,1
3720828,3719899,396809,-0.14924242,-0.12499999,0.44772726,nan,0,1
3742062,3741134,396809,-0.14696969,-0.12727273,0.4462121,nan,0,1
3763304,3762372,396809,-0.15151514,-0.12575758,0.44469696,nan,0,1
3784946,3784018,396809,-0.15075757,-0.12499999,0.44242424,nan,0,1
3806182,3805255,396809,-0.15075757,-0.12575758,0.44469696,nan,0,1
3827449,3826498,396809,-0.14999999,-0.12727273,0.4439394,nan,0,1
3848697,3847769,396809,-0.15075757,-0.12348484,0.44469696,nan,0,1
3870037,3869005,396809,-0.15151514,-0.12727273,0.44469696,nan,0,1
3891669,3890741,396809,-0.14999999,-0.12575758,0.44772726,nan,0,1
3912909,3911983,396809,-0.14999999,-0.12499999,0.4492424,nan,0,1
3934154,3933218,396809,-0.15303029,-0.12651515,0.44772726,nan,0,1
3955393,3954465,396809,-0.15227272,-0.12575758,0.4462121,nan,0,1
3976680,3975753,396809,-0.15151514,-0.12651515,0.4492424,nan,0,1
3998368,3997442,396809,-0.15075757,-0.12499999,0.44242424,nan,0,1
4019622,4018696,396809,-0.14848484,-0.12651515,0.44242424,nan,0,1
4040861,4039935,396809,-0.14999999,-0.12499999,0.4439394,nan,0,1
4062095,4061167,396809,-0.14924242,-0.12499999,0.44469696,nan,0,1
4083701,4082755,396809,-0.14924242,-0.12499999,0.44469696,nan,0,1
4105341,4104415,396809,-0.14999999,-0.12424242,0.4439394,nan,0,1
4126621,4125694,396809,-0.15378788,-0.12499999,0.44772726,nan,0,1
4147861,4146934,396809,-0.15227272,-0.12499999,0.44772726,nan,0,1
4169138,4168212,396809,-0.15227272,-0.12575758,0.4439394,nan,0,1
4190400,4189471,396809,-0.15378788,-0.12499999,0.4439394,nan,0,1
4212512,4211586,396809,-0.15227272,-0.12575758,0.44469696,nan,0,1
4233749,4232820,396809,-0.15075757,-0.12424242,0.44242424,nan,0,1
4254988,4254056,396809,-0.14924242,-0.12499999,0.4439394,nan,0,1
4276240,4275295,396809,-0.15303029,-0.12499999,0.44242424,nan,0,1
4297487,4296549,396809,-0.15378788,-0.12575758,0.44242424,nan,0,1
4319193,4318265,396809,-0.15151514,-0.12499999,0.44242424,nan,0,1
4340433,4339503,396809,-0.15378788,-0.12272727,0.44242424,nan,0,1
4361682,4360756,396809,-0.15303029,-0.12499999,0.4462121,nan,0,1
4382922,4381991,396809,-0.15075757,-0.12499999,0.4439394,nan,0,1
4404198,4403272,396809,-0.15303029,-0.12348484,0.44242424,nan,0,1
4425850,4424924,396809,-0.15378788,-0.12424242,0.4409091,nan,0,1
4447086,4446157,396809,-0.15151514,-0.12575758,0.4439394,nan,0,1
4468426,4467501,396809,-0.15454546,-0.12499999,0.4462121,nan,0,1
4489660,4488733,396809,-0.15303029,-0.12499999,0.44469696,nan,0,1
4510906,4509979,396809,-0.15454546,-0.12424242,0.44772726,nan,0,1
4532554,4531624,396809,-0.15303029,-0.12424242,0.44772726,nan,0,1
4553900,4552928,396809,-0.15151514,-0.12348484,0.44469696,nan,0,1
4575149,4574207,396809,-0.15227272,-0.12499999,0.4492424,nan,0,1
4596491,4595455,396809,-0.15303029,-0.12575758,0.4439394,nan,0,1
4617729,4616802,396809,-0.15075757,-0.12575758,0.4462121,nan,0,1
4639360,4638435,396809,-0.15227272,-0.12348484,0.4409091,nan,0,1
4660622,4659694,396809,-0.15303029,-0.12424242,0.4492424,nan,0,1
4681854,4680928,396809,-0.15075757,-0.12575758,0.4439394,nan,0,1
4703175,4702223,396809,-0.14924242,-0.12651515,0.44469696,nan,0,1
4724410,4723482,396809,-0.15227272,-0.12575758,0.44772726,nan,0,1
4746069,4745144,396809,-0.15151514,-0.12651515,0.44772726,nan,0,1
4767325,4766392,396809,-0.15227272,-0.12575758,0.4439394,nan,0,1
4788558,4787632,396809,-0.15151514,-0.12575758,0.43863636,nan,0,1
4809827,4808899,396809,-0.15151514,-0.12499999,0.4439394,nan,0,1
4831082,4830156,396809,-0.15075757,-0.12575758,0.43939394,nan,0,1
4852713,4851787,396809,-0.14924242,-0.12499999,0.43939394,nan,0,1
4873946,4873019,396809,-0.14999999,-0.12424242,0.44242424,nan,0,1
4895214,4894254,396809,-0.14924242,-0.12424242,0.4439394,nan,0,1
4916447,4915520,396809,-0.14999999,-0.12196969,0.44469696,nan,0,1
4937685,4936759,396809,-0.15075757,-0.12348484,0.4492424,nan,0,1
4959386,4958458,396809,-0.14848484,-0.12424242,0.44469696,nan,0,1
4980661,4979733,396809,-0.14848484,-0.12424242,0.4439394,nan,0,1
5002004,5000968,396809,-0.15075757,-0.12575758,0.4462121,nan,0,1
5023234,5022308,396809,-0.14924242,-0.12424242,0.4409091,nan,0,1
5044466,5043539,396809,-0.14999999,-0.12499999,0.4439394,nan,0,1
5066094,5065166,396809,-0.15227272,-0.12424242,0.44469696,nan,0,1
5087342,5086411,396809,-0.14924242,-0.12424242,0.4409091,nan,0,1
5108623,5107695,396809,-0.14924242,-0.12499999,0.4492424,nan,0,1
5129902,5128976,396809,-0.15227272,-0.12575758,0.4462121,nan,0,1
5151142,5150213,396809,-0.15075757,-0.12499999,0.44772726,nan,0,1
5172901,5171974,396809,-0.14848484,-0.12499999,0.44469696,nan,0,1
5194147,5193219,396809,-0.14924242,-0.12575758,0.4439394,nan,0,1
