timestamp,timestamp_sample,device_id,error_count,pressure,temperature
1145481,1145473,3997730,0,1014.61,28.16
1155639,1155627,3997730,0,1014.62,28.16
1175736,1175728,3997730,0,1014.61,28.16
1185771,1185762,3997730,0,1014.63,28.16
1195806,1195797,3997730,0,1014.64996,28.16
1215872,1215864,3997730,0,1014.63995,28.16
1225913,1225904,3997730,0,1014.61,28.16
1235949,1235939,3997730,0,1014.67,28.16
1256019,1256010,3997730,0,1014.66,28.17
1266070,1266062,3997730,0,1014.61,28.17
1276103,1276095,3997730,0,1014.58997,28.17
1296291,1296283,3997730,0,1014.63995,28.17
1306359,1306316,3997730,0,1014.6,28.17
1316391,1316383,3997730,0,1014.63,28.17
1336458,1336449,3997730,0,1014.63,28.18
1346490,1346482,3997730,0,1014.58997,28.18
1356564,1356555,3997730,0,1014.66,28.18
1376626,1376617,3997730,0,1014.64996,28.18
1386737,1386701,3997730,0,1014.63995,28.18
1396770,1396762,3997730,0,1014.62,28.18
1416955,1416947,3997730,0,1014.63,28.18
1426992,1426983,3997730,0,1014.64996,28.18
1437025,1437017,3997730,0,1014.62,28.18
1457096,1457087,3997730,0,1014.67,28.18
1467131,1467122,3997730,0,1014.62,28.18
1477166,1477157,3997730,0,1014.69995,28.18
1497240,1497231,3997730,0,1014.63,28.18
1507273,1507265,3997730,0,1014.67,28.18
1517309,1517300,3997730,0,1014.61,28.18
1537369,1537361,3997730,0,1014.67,28.189999
1547526,1547517,3997730,0,1014.66,28.189999
1557561,1557552,3997730,0,1014.66,28.189999
1577707,1577699,3997730,0,1014.68,28.189999
1587741,1587733,3997730,0,1014.63,28.189999
1597819,1597810,3997730,0,1014.63,28.189999
1617884,1617876,3997730,0,1014.66,28.189999
1627922,1627913,3997730,0,1014.63,28.189999
1637959,1637950,3997730,0,1014.63995,28.189999
1658040,1658032,3997730,0,1014.68,28.199999
1668188,1668179,3997730,0,1014.64996,28.199999
1678218,1678210,3997730,0,1014.6,28.199999
1698293,1698284,3997730,0,1014.66,28.199999
1708328,1708319,3997730,0,1014.63995,28.199999
1718362,1718353,3997730,0,1014.63,28.199999
1738427,1738419,3997730,0,1014.68,28.199999
1748463,1748454,3997730,0,1014.61,28.199999
1758500,1758491,3997730,0,1014.64996,28.199999
1778569,1778560,3997730,0,1014.66,28.199999
1788601,1788593,3997730,0,1014.62,28.199999
1798640,1798632,3997730,0,1014.64996,28.199999
1818808,1818798,3997730,0,1014.69,28.199999
1828841,1828833,3997730,0,1014.68,28.199999
1838915,1838907,3997730,0,1014.64996,28.199999
1859001,1858993,3997730,0,1014.63,28.199999
1869074,1869065,3997730,0,1014.66,28.199999
1879110,1879100,3997730,0,1014.66,28.199999
1899169,1899161,3997730,0,1014.64996,28.199999
1909202,1909193,3997730,0,1014.64996,28.199999
1919235,1919226,3997730,0,1014.62,28.199999
1939403,1939394,3997730,0,1014.72,28.21
1949439,1949430,3997730,0,1014.69,28.21
1959475,1959466,3997730,0,1014.63995,28.21
1979543,1979534,3997730,0,1014.63995,28.21
1989596,1989587,3997730,0,1014.63,28.21
1999641,1999633,3997730,0,1014.64996,28.21
2019741,2019730,3997730,0,1014.67,28.21
2029781,2029767,3997730,0,1014.63,28.21
2039816,2039807,3997730,0,1014.63995,28.21
2059876,2059867,3997730,0,1014.66,28.21
2070025,2070017,3997730,0,1014.64996,28.21
2080091,2080082,3997730,0,1014.68,28.21
2100182,2100175,3997730,0,1014.64996,28.21
