timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
1153141,1152827,0.55636805,-0.4753962,-9.617509
1158134,1157811,0.55675334,-0.4675179,-9.618663
1163119,1162790,0.55282724,-0.45968223,-9.618203
1168109,1167784,0.5495901,-0.46308342,-9.617479
1173101,1172778,0.5452578,-0.46397582,-9.617836
1178113,1177776,0.54607403,-0.4647526,-9.62125
1183095,1182774,0.5483802,-0.46186063,-9.622403
1188092,1187773,0.5520695,-0.46120736,-9.62244
1193093,1192775,0.54935837,-0.4643156,-9.620032
1198093,1197774,0.5513125,-0.4688852,-9.622935
1203089,1202777,0.54990333,-0.47048187,-9.628796
1207913,1207564,0.55792,-0.4716519,-9.628839
1212883,1212540,0.5605083,-0.47099736,-9.627325
1217855,1217517,0.55416656,-0.4722905,-9.626376
1222841,1222497,0.55388224,-0.46876687,-9.626992
1227808,1227469,0.55691427,-0.47360253,-9.619795
1232782,1232445,0.55561566,-0.4692352,-9.620847
1237779,1237424,0.5489326,-0.46986228,-9.632291
1242794,1242398,0.5428158,-0.46810412,-9.636738
1247734,1247375,0.53533596,-0.47124928,-9.635705
1252705,1252351,0.54362047,-0.48187634,-9.632784
1257702,1257332,0.5478427,-0.48554733,-9.631421
1262658,1262304,0.5420671,-0.477185,-9.630482
1267629,1267280,0.5367262,-0.47197506,-9.628773
1272621,1272258,0.5427229,-0.4730284,-9.628929
1277553,1277232,0.55407315,-0.47854978,-9.62657
1282532,1282210,0.56565917,-0.48135167,-9.629562
1287509,1287185,0.560981,-0.47733355,-9.633907
1292491,1292162,0.55112964,-0.47292334,-9.63857
1297457,1297138,0.5505563,-0.46876004,-9.643586
1302444,1302115,0.5510365,-0.4727806,-9.642514
1307413,1307090,0.54780346,-0.4758995,-9.639314
1312383,1312068,0.5361712,-0.47937864,-9.64022
1317368,1317043,0.53677094,-0.47768793,-9.638464
1322335,1322020,0.5480196,-0.46969476,-9.634441
1327339,1326996,0.55253947,-0.46309632,-9.636981
1332300,1331973,0.5541271,-0.46345177,-9.639883
1337267,1336949,0.55392915,-0.46431366,-9.640226
1342243,1341925,0.54829895,-0.46787876,-9.6399
1347227,1346901,0.5455118,-0.4704384,-9.64156
1352195,1351878,0.55053115,-0.4758873,-9.645161
1357167,1356853,0.5583553,-0.47630522,-9.642229
1362152,1361832,0.5580211,-0.47030294,-9.639716
1367131,1366808,0.5602804,-0.46630388,-9.645431
1372110,1371785,0.5595898,-0.4615943,-9.647288
1377088,1376759,0.5557784,-0.46294948,-9.64547
1382062,1381736,0.5543495,-0.46566263,-9.644571
1387071,1386713,0.54751474,-0.47579882,-9.645239
1392041,1391691,0.54269564,-0.48058817,-9.644652
1396984,1396664,0.5399206,-0.47706643,-9.647148
1401971,1401647,0.54026574,-0.4809804,-9.645144
1406964,1406617,0.5412244,-0.48350957,-9.643333
1411916,1411594,0.54400253,-0.48441362,-9.643694
1416893,1416570,0.5507174,-0.4815896,-9.642331
1421861,1421545,0.55850226,-0.47380662,-9.639486
1426859,1426540,0.5551541,-0.47089288,-9.639702
1431849,1431533,0.5539803,-0.46706307,-9.637261
1436855,1436536,0.5515345,-0.46756032,-9.635682
1441851,1441536,0.5528851,-0.47287968,-9.643631
1446859,1446537,0.54757243,-0.47567979,-9.646955
1451863,1451535,0.5487942,-0.4780416,-9.647221
1456868,1456547,0.5540126,-0.47298807,-9.64855
1461853,1461539,0.5542316,-0.4712692,-9.649666
1466675,1466332,0.55254245,-0.4791222,-9.654059
1471661,1471312,0.5539931,-0.4751277,-9.647989
1476654,1476286,0.5505139,-0.47250694,-9.642941
1481607,1481262,0.5556397,-0.47544205,-9.6430855
1486571,1486238,0.56305206,-0.4766756,-9.644366
1491563,1491222,0.5617292,-0.4741303,-9.643623
1496532,1496190,0.5551053,-0.47112215,-9.642542
1501521,1501167,0.5499731,-0.46498507,-9.646926
1506497,1506144,0.54622144,-0.46839786,-9.649898
1511456,1511120,0.54889786,-0.4749597,-9.650161
1516458,1516097,0.54833084,-0.47853324,-9.647288
1521449,1521072,0.5493182,-0.47860277,-9.65156
1526386,1526049,0.5516211,-0.47132543,-9.650238
1531382,1531025,0.5461826,-0.47417915,-9.646532
1536377,1536002,0.5540896,-0.4726885,-9.651134
1541314,1540987,0.5530303,-0.4805021,-9.654371
1546279,1545954,0.5529536,-0.48445755,-9.652653
1549162,1548444,0.5540875,-0.48421514,-9.654222
1553738,1553418,0.55558205,-0.48184747,-9.652501
1558730,1558404,0.55467606,-0.47931316,-9.644779
1563695,1563371,0.55080044,-0.4737896,-9.639548
1568676,1568349,0.54374135,-0.47265005,-9.6398115
1573658,1573324,0.54160255,-0.4764488,-9.646939
1578629,1578301,0.54158676,-0.47642028,-9.6531315
1583601,1583276,0.5491885,-0.47378922,-9.655732
1588574,1588253,0.5499978,-0.47492394,-9.650078
1593553,1593231,0.5523343,-0.47322285,-9.64356
1598524,1598206,0.5583011,-0.47045848,-9.642313
1603499,1603182,0.55779314,-0.47054717,-9.64452
1608482,1608159,0.5557612,-0.47510535,-9.650282
1613454,1613135,0.5494937,-0.4762542,-9.6499405
1618437,1618114,0.55305,-0.47444603,-9.648239
1623418,1623087,0.55003583,-0.47297883,-9.648171
1628416,1628075,0.5458062,-0.47707215,-9.650601
1633357,1633040,0.5441637,-0.47684622,-9.649281
1638341,1638021,0.54879045,-0.47536445,-9.645243
1643312,1642993,0.5608594,-0.47744295,-9.642402
1648301,1647986,0.5630989,-0.47751647,-9.644909
1653274,1652948,0.55554736,-0.4797916,-9.646669
1658240,1657925,0.5505123,-0.4833121,-9.644164
1663221,1662901,0.5467009,-0.4861441,-9.650485
1668237,1667877,0.5412182,-0.48546207,-9.652191
1673173,1672854,0.5431111,-0.48867384,-9.648542
1678140,1677829,0.5534454,-0.48473263,-9.652528
1683124,1682805,0.56132793,-0.47601226,-9.65267
1688123,1687805,0.55468786,-0.47119606,-9.654485
1693125,1692804,0.552111,-0.4710412,-9.654233
1698129,1697810,0.5499482,-0.47170296,-9.651634
1703125,1702807,0.5504202,-0.47057107,-9.657459
1708121,1707805,0.5471862,-0.4692293,-9.659092
1713124,1712804,0.54684186,-0.46847513,-9.658461
1718115,1717804,0.5488981,-0.47245038,-9.660339
1723129,1722807,0.5505051,-0.47363156,-9.658989
1727931,1727593,0.55615515,-0.46630418,-9.665496
1732904,1732566,0.55099595,-0.4707976,-9.665003
1737873,1737542,0.5439966,-0.47848037,-9.656416
1742856,1742519,0.5453386,-0.47948134,-9.649709
1747831,1747498,0.54269165,-0.47273117,-9.645436
1752805,1752471,0.5398787,-0.4734269,-9.650086
1757782,1757448,0.545895,-0.4725916,-9.654673
1762774,1762427,0.5539084,-0.47374186,-9.657811
1767738,1767401,0.54640937,-0.47258466,-9.653519
1772716,1772377,0.53986996,-0.47464693,-9.647564
1777718,1777358,0.551905,-0.46927288,-9.646095
1782675,1782332,0.546793,-0.46291834,-9.65374
1787655,1787306,0.54661447,-0.46160612,-9.65874
1792599,1792283,0.5538711,-0.4647638,-9.654818
1797654,1797263,0.55812913,-0.46405506,-9.659417
1802551,1802236,0.5575677,-0.46301356,-9.660229
1807527,1807211,0.5544112,-0.46478742,-9.663301
1812504,1812187,0.5522439,-0.462847,-9.670105
1817482,1817163,0.55189973,-0.46383038,-9.671923
1822457,1822140,0.54607636,-0.469668,-9.658986
1827432,1827116,0.5396439,-0.4731568,-9.649943
1832411,1832093,0.5418617,-0.4795936,-9.645366
1837393,1837073,0.5485792,-0.48133463,-9.648894
1842367,1842049,0.5471462,-0.48200327,-9.65193
1847334,1847023,0.5423322,-0.4770732,-9.655943
1852309,1851999,0.5453296,-0.47452596,-9.665065
1857309,1856974,0.5546008,-0.4672999,-9.669077
1862297,1861951,0.5508584,-0.46337038,-9.664958
1867241,1866927,0.5501792,-0.46366477,-9.663296
1872222,1871904,0.55178285,-0.4683734,-9.665637
1877211,1876882,0.5540651,-0.47000065,-9.670677
1882194,1881856,0.5553568,-0.4649787,-9.667302
1887145,1886832,0.5528348,-0.46680778,-9.661114
1892125,1891809,0.54618263,-0.4734504,-9.654286
1897096,1896785,0.549409,-0.47420117,-9.655814
1902074,1901762,0.5509221,-0.47441205,-9.65692
1907058,1906740,0.55285096,-0.47423306,-9.661595
1912034,1911714,0.55072653,-0.47516343,-9.662646
1917011,1916693,0.5423736,-0.4709086,-9.660282
1922073,1921668,0.54300094,-0.46639714,-9.656757
1926963,1926648,0.5510168,-0.4659122,-9.648232
1931931,1931620,0.5485161,-0.47384956,-9.648746
1936918,1936597,0.5456621,-0.4763733,-9.656253
1941890,1941572,0.54092956,-0.47572017,-9.660016
1946887,1946569,0.54248625,-0.476008,-9.657955
1951886,1951563,0.5409562,-0.47138727,-9.653243
1956876,1956563,0.547022,-0.46965882,-9.656524
1961884,1961571,0.55398375,-0.46433288,-9.659051
1966892,1966569,0.5551613,-0.46487117,-9.656049
1971896,1971581,0.5612226,-0.47307536,-9.65556
1976877,1976564,0.5605746,-0.4759131,-9.657274
1981908,1981576,0.56063074,-0.47004688,-9.660004
1986709,1986359,0.557918,-0.46840128,-9.662214
1991683,1991335,0.5533488,-0.4674479,-9.665102
1996652,1996312,0.55481845,-0.4685323,-9.659244
2001628,2001291,0.55390656,-0.474642,-9.660162
2006610,2006264,0.55656254,-0.4754369,-9.665288
2011625,2011250,0.55850095,-0.47252905,-9.663758
2016570,2016227,0.55026674,-0.47242528,-9.660113
2021538,2021194,0.55008996,-0.47096404,-9.661762
2026516,2026171,0.54333633,-0.46527392,-9.669174
2031481,2031146,0.5397109,-0.4691731,-9.673912
2036468,2036124,0.5419625,-0.47296202,-9.667033
2041444,2041099,0.5489752,-0.46711385,-9.661586
2046419,2046077,0.54699403,-0.46326807,-9.662536
2051364,2051052,0.54419965,-0.4661227,-9.667137
2056345,2056028,0.5485374,-0.46621764,-9.665117
2061324,2061004,0.54790944,-0.47023618,-9.663499
2066302,2065984,0.5536798,-0.473175,-9.660367
2071270,2070958,0.5462098,-0.47802445,-9.65986
2076267,2075937,0.54032683,-0.48116127,-9.664176
2081224,2080909,0.54152095,-0.47912222,-9.671048
2086215,2085887,0.5462193,-0.47504243,-9.675186
2091187,2090865,0.5523975,-0.47524226,-9.67797
2096149,2095838,0.5490078,-0.48138624,-9.67496
2101122,2100814,0.5398758,-0.4783448,-9.665845
2106101,2105791,0.54093534,-0.47156635,-9.660736
2111075,2110767,0.54139906,-0.47006175,-9.662908
2116050,2115747,0.54241145,-0.4669243,-9.663291
2121029,2120719,0.5442498,-0.4673847,-9.664985
2126007,2125702,0.5484377,-0.47285116,-9.663839
2130976,2130672,0.55284566,-0.47627094,-9.664191
2135961,2135648,0.54993004,-0.4731345,-9.66861
2140940,2140627,0.54354906,-0.46764973,-9.667583
2145902,2145600,0.5417322,-0.4677627,-9.664846
2150891,2150577,0.5417054,-0.47007567,-9.670275
2155858,2155554,0.54614294,-0.47076133,-9.663451
2160866,2160536,0.5551365,-0.4678143,-9.66002
2165823,2165506,0.568739,-0.46074212,-9.658534
2170796,2170482,0.5642687,-0.46025234,-9.662826
2175764,2175458,0.54959047,-0.47311434,-9.669328
2180754,2180437,0.5439038,-0.4812031,-9.669119
2185728,2185412,0.5449192,-0.48318118,-9.666977
2190717,2190388,0.54763687,-0.47912934,-9.664329
2195681,2195364,0.54279,-0.4761913,-9.661725
2200648,2200342,0.54676527,-0.47846907,-9.666459
2205641,2205330,0.54969716,-0.4760493,-9.665987
2210627,2210326,0.54447895,-0.47351724,-9.667563
2215639,2215326,0.5373523,-0.47814792,-9.665118
2220631,2220327,0.53968847,-0.48095948,-9.662275
2225649,2225334,0.54320335,-0.4739005,-9.659429
2230629,2230324,0.5500879,-0.47053674,-9.660881
2235647,2235332,0.54791534,-0.47001192,-9.663181
2240630,2240328,0.5458591,-0.4746907,-9.666259
2245496,2245144,0.5414482,-0.47407913,-9.667923
2250436,2250103,0.5467408,-0.47425193,-9.659561
2255412,2255081,0.55341333,-0.47212225,-9.658479
2260375,2260056,0.55445135,-0.46975055,-9.655808
2265371,2265034,0.55264777,-0.47672513,-9.659318
2270335,2270011,0.551988,-0.4801772,-9.670312
2275314,2274985,0.5553323,-0.47598287,-9.671254
2280293,2279961,0.5584827,-0.47402695,-9.669418
2285273,2284939,0.56392854,-0.4754747,-9.668185
2290248,2289914,0.55968636,-0.4740118,-9.666212
2295229,2294892,0.5517804,-0.46835062,-9.667596
2300195,2299868,0.5555257,-0.46585616,-9.669912
2305178,2304844,0.5573458,-0.4635936,-9.666936
2310186,2309821,0.5439709,-0.46825904,-9.669756
2315106,2314798,0.53583044,-0.46994448,-9.673893
2320090,2319773,0.53943306,-0.47663653,-9.67745
2325061,2324750,0.55741405,-0.47828764,-9.677129
2330033,2329726,0.56360537,-0.4715661,-9.669539
2335019,2334703,0.55937696,-0.46959436,-9.658826
2339984,2339678,0.55152017,-0.46953785,-9.6559105
2344962,2344655,0.5537797,-0.4661689,-9.657814
2349948,2349631,0.5577246,-0.45918152,-9.665693
2354927,2354609,0.559602,-0.4669194,-9.669655
2359886,2359583,0.5589,-0.47262496,-9.670185
2364870,2364561,0.5553201,-0.47212663,-9.666051
2369841,2369536,0.5546877,-0.46994784,-9.659772
2374827,2374515,0.54659003,-0.4705652,-9.663726
2379802,2379489,0.54297686,-0.47175127,-9.6673765
2384780,2384466,0.55308133,-0.4697706,-9.663193
2389750,2389442,0.5622065,-0.46920046,-9.668315
2394757,2394418,0.564245,-0.46795964,-9.6635895
2399707,2399394,0.5600818,-0.47054893,-9.659202
2404681,2404370,0.552728,-0.4742997,-9.658214
2409662,2409346,0.54934317,-0.47554523,-9.661932
2414632,2414324,0.5464548,-0.4728662,-9.667301
2419605,2419299,0.54738945,-0.47107276,-9.667255
2424585,2424277,0.5474253,-0.4670224,-9.666327
2429587,2429251,0.5484025,-0.46459693,-9.664794
2434541,2434229,0.5435904,-0.46528247,-9.661174
2439567,2439204,0.54800403,-0.46443877,-9.6624565
2444490,2444182,0.55434597,-0.4618382,-9.6684265
2449467,2449158,0.55886304,-0.4612069,-9.670775
2454449,2454133,0.5596409,-0.45828807,-9.667947
2459422,2459110,0.5679529,-0.46811345,-9.663873
2464410,2464096,0.56484085,-0.47728744,-9.670555
2469397,2469091,0.5613187,-0.47672966,-9.671331
2474405,2474095,0.55116427,-0.47689408,-9.66911
2479418,2479098,0.54920244,-0.47536537,-9.663485
2484407,2484093,0.5447238,-0.4716573,-9.6595125
2489401,2489090,0.5404923,-0.46843243,-9.667643
2494412,2494101,0.54029614,-0.46635652,-9.674029
2499401,2499094,0.54092675,-0.46845186,-9.672023
2504228,2503901,0.54242504,-0.47868702,-9.668053
2509236,2508874,0.547195,-0.48529878,-9.668442
2514187,2513850,0.5527494,-0.48062757,-9.669593
2519158,2518827,0.5543879,-0.47089985,-9.669464
2524143,2523803,0.55169785,-0.46909615,-9.670992
2529110,2528779,0.5500493,-0.46601948,-9.664024
2534090,2533757,0.5557145,-0.47354424,-9.668052
2539066,2538732,0.5539834,-0.47480458,-9.6670685
2544046,2543709,0.5532159,-0.4694242,-9.668672
2549024,2548686,0.54996514,-0.46798018,-9.672685
2553991,2553660,0.5479425,-0.47497433,-9.673051
2558967,2558641,0.54785854,-0.48077023,-9.667437
2563954,2563614,0.5438067,-0.48239008,-9.667866
2568934,2568595,0.54031444,-0.48384565,-9.667307
2573879,2573567,0.5368277,-0.4829348,-9.666381
2578847,2578542,0.54412776,-0.47654966,-9.668272
2583832,2583520,0.55295676,-0.47238266,-9.666816
2588825,2588495,0.55668575,-0.47416347,-9.665357
2593783,2593472,0.5504253,-0.47583443,-9.665151
2598761,2598447,0.5458706,-0.4725469,-9.663929
2603757,2603427,0.5487119,-0.468631,-9.663861
2608726,2608414,0.55740225,-0.46587637,-9.665609
2613695,2613380,0.557919,-0.46945336,-9.666343
2618665,2618353,0.5552669,-0.47382388,-9.66807
2623650,2623333,0.5585447,-0.46582645,-9.672391
2628611,2628305,0.5555267,-0.4660324,-9.675529
2633604,2633287,0.55732846,-0.46728265,-9.674645
2638567,2638258,0.5557512,-0.46868342,-9.670823
2643551,2643237,0.54916924,-0.47433716,-9.670671
2648518,2648211,0.54058623,-0.47391158,-9.674965
2653515,2653190,0.54418623,-0.47703296,-9.67439
2658472,2658164,0.546778,-0.4712949,-9.668762
2663462,2663141,0.5511686,-0.46444607,-9.662473
2668432,2668117,0.5512774,-0.4627385,-9.659796
2673407,2673093,0.5470149,-0.4625094,-9.659906
2678376,2678069,0.5404556,-0.46878046,-9.666305
2683366,2683046,0.54184896,-0.47331426,-9.671628
2688337,2688022,0.5428318,-0.47123492,-9.669717
2693318,2693000,0.5407358,-0.46719486,-9.664858
2698297,2697977,0.5468004,-0.4669153,-9.660725
2703280,2702957,0.5538283,-0.46446,-9.668046
2708235,2707928,0.56010675,-0.4604889,-9.674842
2713209,2712905,0.5646927,-0.4655442,-9.6807
2718188,2717880,0.5607791,-0.47622252,-9.680375
2723199,2722871,0.54970247,-0.48246035,-9.6701355
2728171,2727863,0.5441097,-0.47878972,-9.660451
2733166,2732859,0.5366674,-0.47262314,-9.661786
2738213,2737860,0.5322603,-0.4646611,-9.66776
2743178,2742858,0.5369081,-0.46198738,-9.670977
2748167,2747860,0.5451095,-0.46490708,-9.6748905
2753176,2752862,0.5472285,-0.47007117,-9.678798
2758170,2757861,0.5413722,-0.46964228,-9.678307
2763180,2762869,0.5417935,-0.46649638,-9.675221
2767978,2767648,0.5379193,-0.46608958,-9.67433
2772952,2772620,0.54217136,-0.4705855,-9.675447
2777927,2777595,0.54474276,-0.46593657,-9.673119
2782916,2782579,0.54225904,-0.46221432,-9.674816
2787881,2787548,0.5438072,-0.4621843,-9.672688
2792872,2792526,0.55174345,-0.46078658,-9.66262
2797842,2797502,0.5585044,-0.46004826,-9.660447
2802816,2802480,0.5574189,-0.46549246,-9.660519
2807791,2807455,0.54872257,-0.47195458,-9.663923
2812762,2812431,0.543703,-0.46962753,-9.6638775
2817774,2817406,0.5444398,-0.46903926,-9.657268
2822756,2822382,0.5479058,-0.46829373,-9.660596
2827704,2827361,0.54443806,-0.46618363,-9.66292
2832650,2832335,0.53849983,-0.46378762,-9.662222
2837631,2837312,0.5451239,-0.46756595,-9.660126
2842595,2842289,0.5507507,-0.4722992,-9.667715
2847571,2847267,0.5518317,-0.47241798,-9.670017
2852542,2852240,0.5566659,-0.47431102,-9.667773
2857528,2857217,0.56179875,-0.4741827,-9.666988
2862513,2862193,0.56027424,-0.47094196,-9.662865
2867492,2867172,0.5579111,-0.4698955,-9.663219
2872452,2872146,0.5635453,-0.46747515,-9.663194
2877441,2877123,0.5662738,-0.4664247,-9.657479
2882409,2882099,0.55908704,-0.46148783,-9.655389
2887391,2887076,0.5542432,-0.45726225,-9.660418
2892370,2892052,0.5505445,-0.46034288,-9.667941
2897336,2897028,0.5440447,-0.4716135,-9.674321
2902305,2902004,0.53847796,-0.47680277,-9.674611
2907301,2906981,0.5403864,-0.48447835,-9.669134
2912264,2911958,0.5487858,-0.48095843,-9.6682
2917233,2916933,0.55072594,-0.47290727,-9.669073
2922229,2921910,0.550108,-0.47243363,-9.668318
2927209,2926885,0.5505823,-0.47049096,-9.662544
2932169,2931863,0.5512045,-0.46663797,-9.658475
2937139,2936839,0.55551046,-0.46418598,-9.657216
2942126,2941816,0.5528423,-0.46317697,-9.663685
2947096,2946792,0.5529409,-0.46623084,-9.670703
2952079,2951770,0.55548006,-0.46953565,-9.669063
2957052,2956744,0.5669624,-0.46838632,-9.669105
2962029,2961720,0.56691283,-0.4628797,-9.660663
