Time (ms),humidity (%),temperature (C*)
369425,55.00,20.60,
369510,55.00,20.60,
369594,55.00,20.60,
369678,55.00,20.60,
369763,55.00,20.60,
369847,55.00,20.60,
369931,55.00,20.60,
370016,55.00,20.60,
370100,55.00,20.60,
370184,55.00,20.60,
370268,55.00,20.60,
370353,55.00,20.60,
370437,55.00,20.60,
370521,55.00,20.60,
370605,55.00,20.60,
370690,55.00,20.60,
370774,55.00,20.60,
370857,55.00,20.60,
370941,55.00,20.60,
371026,55.00,20.60,
371110,55.00,20.60,
371194,55.00,20.60,
371279,55.00,20.60,
371363,55.00,20.60,
371447,55.00,20.60,
371532,55.00,20.60,
371616,55.00,20.60,
371701,55.00,20.60,
371785,55.00,20.60,
371869,55.00,20.60,
371953,55.00,20.60,
372038,55.00,20.60,
372122,55.00,20.60,
372206,55.00,20.60,
372290,55.00,20.60,
372375,55.00,20.60,
372459,55.00,20.60,
372543,55.00,20.60,
372627,55.00,20.60,
372712,55.00,20.60,
372796,55.00,20.60,
372880,55.00,20.60,
372965,55.00,20.60,
373049,55.00,20.60,
373133,55.00,20.60,
373217,55.00,20.60,
373302,55.00,20.60,
373386,55.00,20.60,
373470,54.00,20.70,
373555,54.00,20.70,
373639,54.00,20.70,
373724,54.00,20.70,
373808,54.00,20.70,
373892,54.00,20.70,
373976,54.00,20.70,
374061,54.00,20.70,
374145,54.00,20.70,
374228,54.00,20.70,
374312,54.00,20.70,
374397,54.00,20.70,
374481,54.00,20.70,
374565,54.00,20.70,
374650,54.00,20.70,
374734,54.00,20.70,
374818,54.00,20.70,
374902,54.00,20.70,
374987,54.00,20.70,
375071,54.00,20.70,
375155,54.00,20.70,
375239,54.00,20.70,
375324,54.00,20.70,
375408,54.00,20.70,
375492,53.00,20.70,
375577,53.00,20.70,
375661,53.00,20.70,
375746,53.00,20.70,
375840,53.00,20.70,
375914,53.00,20.70,
375998,53.00,20.70,
376083,53.00,20.70,
376167,53.00,20.70,
376251,53.00,20.70,
376335,53.00,20.70,
376420,53.00,20.70,
376504,53.00,20.70,
376588,53.00,20.70,
376673,53.00,20.70,
376757,53.00,20.70,
376841,53.00,20.70,
376925,53.00,20.70,
377010,53.00,20.70,
377094,53.00,20.70,
377178,53.00,20.70,
377262,53.00,20.70,
377347,53.00,20.70,
377431,53.00,20.70,
377515,53.00,20.70,
377600,53.00,20.70,
377683,53.00,20.70,
377768,53.00,20.70,
377852,53.00,20.70,
377936,53.00,20.70,
378020,53.00,20.70,
378105,53.00,20.70,
378189,53.00,20.70,
378273,53.00,20.70,
378358,53.00,20.70,
378442,53.00,20.70,
378526,53.00,20.70,
378610,53.00,20.70,
378695,53.00,20.70,
378779,53.00,20.70,
378863,53.00,20.70,
378947,53.00,20.70,
379032,53.00,20.70,
379116,53.00,20.70,
379200,53.00,20.70,
379284,53.00,20.70,
379369,53.00,20.70,
379453,53.00,20.70,
379537,53.00,20.70,
379621,53.00,20.70,
379705,53.00,20.70,
379790,53.00,20.70,
