timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
1087496,inf,0,1,1,1,0,0,1,1,0,1
2093088,inf,0,1,1,1,0,0,1,0,0,1
3093117,inf,0,1,1,1,0,0,1,0,0,1
4093213,inf,0,1,1,1,0,0,1,0,0,1
5098352,inf,0,1,1,1,0,0,1,0,0,1
6098439,inf,0,1,1,1,0,0,1,0,0,1
7098538,inf,0,1,1,1,0,0,1,0,0,1
8098750,inf,0,1,1,1,0,0,1,0,0,1
9099745,inf,0,1,1,1,0,0,1,0,0,1
10109599,inf,0,1,1,1,0,0,1,0,0,1
11110281,inf,0,1,1,1,0,0,1,0,0,1
12119540,inf,0,1,1,1,0,0,1,0,0,1
13119864,inf,0,1,1,1,0,0,1,0,0,1
14119874,inf,0,1,1,1,0,0,1,0,0,1
15129299,inf,0,1,1,1,0,0,1,0,0,1
16138785,inf,0,1,1,1,0,0,1,0,0,1
17148956,inf,0,1,1,1,0,0,1,1,0,1
18158780,inf,0,1,1,1,0,0,1,0,0,1
19158910,inf,0,1,1,1,0,0,1,1,0,1
20168562,inf,0,1,1,1,0,0,1,0,0,1
21168626,inf,0,1,1,1,0,0,1,0,0,1
22168654,inf,0,1,1,1,0,0,1,0,0,1
23178462,inf,0,1,1,1,0,0,1,0,0,1
24178639,inf,0,1,1,1,0,0,1,0,0,1
25188280,inf,0,1,1,1,0,0,1,1,0,1
26188337,inf,0,1,1,1,0,0,1,0,0,1
27198257,inf,0,1,1,1,0,0,1,1,0,1
28208305,inf,0,1,1,1,0,0,1,0,0,1
29218151,inf,0,1,1,1,0,0,1,0,0,1
30218185,inf,0,1,1,1,0,0,1,0,0,1
31218241,inf,0,1,1,1,0,0,1,0,0,1
32227898,inf,0,1,1,1,0,0,1,0,0,1
33228083,inf,0,1,1,1,0,0,1,0,0,1
34237976,inf,0,1,1,1,0,0,1,0,0,1
35247998,inf,0,1,1,1,0,0,1,0,0,1
36258039,inf,0,1,1,1,0,0,1,0,0,1
37267851,inf,0,1,1,1,0,0,1,1,0,1
38277753,inf,0,1,1,1,0,0,1,1,0,1
39287949,inf,0,1,1,1,0,0,1,0,0,1
40288396,inf,0,1,1,1,0,0,1,0,0,1
41297833,inf,0,1,1,1,0,0,1,0,0,1
42298398,inf,0,1,1,1,0,0,1,0,0,1
43298695,inf,0,1,1,1,0,0,1,0,0,1
44307990,inf,0,1,1,1,0,0,1,0,0,1
45308478,inf,0,1,1,1,0,0,1,0,0,1
46318291,inf,0,1,1,1,0,0,1,0,0,1
46537791,inf,0,1,1,1,1,0,1,0,0,1
47537807,inf,0,1,1,1,1,0,1,0,0,1
48537944,inf,0,1,1,1,1,0,1,0,0,1
49538496,inf,0,1,1,1,1,0,1,0,0,1
50548087,inf,0,1,1,1,1,0,1,0,0,1
50927488,inf,0,1,0,0,1,0,1,0,0,1
51927543,inf,0,1,0,0,1,0,1,0,0,1
52928729,inf,0,1,0,0,1,0,1,0,0,1
53666861,inf,0,0,0,0,1,0,0,0,0,1
54678841,inf,0,0,0,0,1,0,0,0,0,1
55679938,inf,0,0,0,0,1,0,0,0,0,1
55932513,inf,0,0,0,0,0,0,0,0,0,1
56939914,inf,0,0,0,0,0,0,0,1,0,1
57950034,inf,0,0,0,0,0,0,0,0,0,1
58950120,inf,0,0,0,0,0,0,0,0,0,1
59960065,inf,0,0,0,0,0,0,0,0,0,1
60960141,inf,0,0,0,0,0,0,0,0,0,1
61970103,inf,0,0,0,0,0,0,0,0,0,1
