time, x, y, z
14.82,-1.015135,0.0855498,0.0470862
14.92,-1.015141,0.08556649,0.0470933
15.02,-1.015122,0.08552894,0.0470933
15.12,-1.015149,0.08554479,0.0470857
15.22,-1.015125,0.08552888,0.0470972
15.32,-1.015134,0.08554259,0.0470933
15.42,-1.015144,0.0855284,0.0470910
15.52,-1.015145,0.08552685,0.0470814
15.62,-1.015141,0.08550432,0.0470824
15.72,-1.015155,0.08554342,0.0470867
15.82,-1.01514,0.08551612,0.0470900
15.92,-1.015143,0.08552936,0.0470881
16.02,-1.015146,0.0855107,0.0470910
16.12,-1.015157,0.08554479,0.0470895
16.22,-1.015121,0.08552304,0.0470957
16.32,-1.015141,0.0855318,0.0470876
16.42,-1.015143,0.08554336,0.0470948
16.52,-1.015154,0.08554509,0.0470976
16.62,-1.015147,0.08555558,0.0470972
16.72,-1.015149,0.08552799,0.0470867
16.82,-1.015151,0.08555254,0.0470819
16.92,-1.015164,0.08553752,0.0470924
17.02,-1.015157,0.08553639,0.0470781
17.12,-1.015157,0.08553323,0.0470876
17.22,-1.015148,0.08553782,0.0470838
17.32,-1.015162,0.08553848,0.0470814
17.42,-1.015159,0.08553907,0.0470790
17.52,-1.015163,0.08554521,0.0470790
17.62,-1.01514,0.08553997,0.047082
17.72,-1.015155,0.08553281,0.0470800
17.82,-1.015162,0.08554885,0.0470800
17.92,-1.015156,0.08552507,0.0470871
18.02,-1.01516,0.08554557,0.0470814
18.12,-1.015152,0.08552578,0.0470747
18.22,-1.015161,0.08554074,0.0470838
18.32,-1.015139,0.08552012,0.0470824
18.42,-1.015162,0.08553109,0.0470900
18.52,-1.015137,0.08552262,0.0470805
18.62,-1.015148,0.08554313,0.0470976
18.72,-1.01515,0.08551314,0.047082
18.82,-1.01515,0.08553073,0.0470876
18.92,-1.015156,0.08554158,0.0470738
19.02,-1.015128,0.08551267,0.0470833
19.12,-1.015143,0.08552393,0.047076
19.22,-1.015136,0.08550987,0.0470871
19.32,-1.015148,0.08552852,0.0470843
19.42,-1.01515,0.08551821,0.047082
19.52,-1.015141,0.0855197,0.0470776
19.62,-1.015139,0.08549801,0.0470919
19.72,-1.015147,0.0855172,0.0470814
19.82,-1.01516,0.08553293,0.0470814
19.92,-1.015158,0.08552846,0.0470881
20.02,-1.01515,0.08552316,0.0470862
20.12,-1.01516,0.08551523,0.0470790
20.22,-1.015158,0.08551601,0.0470919
20.32,-1.015144,0.08553079,0.0470848
20.42,-1.015149,0.08550653,0.0470919
20.52,-1.015149,0.08551112,0.047082
20.62,-1.015149,0.08552042,0.0470795
20.72,-1.015142,0.08551142,0.0470833
20.82,-1.015154,0.08552364,0.0470819
20.92,-1.015157,0.08550248,0.0470838
21.02,-1.015157,0.08550313,0.0470924
21.12,-1.015155,0.08549693,0.047089
21.22,-1.015157,0.08548751,0.0470800
21.32,-1.015165,0.08550861,0.0470867
21.42,-1.015162,0.08549353,0.0470910
21.52,-1.015161,0.08552548,0.0470781
21.62,-1.015134,0.08547804,0.0470914
21.72,-1.015159,0.08551231,0.047076
21.82,-1.015134,0.08548889,0.047076
21.92,-1.015164,0.08551404,0.0470848
22.02,-1.015132,0.08550212,0.0470876
22.12,-1.015136,0.08550575,0.0470848
22.22,-1.015149,0.08551857,0.0470743
22.32,-1.015134,0.08550009,0.0470728
22.42,-1.015152,0.0855228,0.0470805
22.52,-1.01513,0.08549586,0.0470671
22.62,-1.015168,0.08551028,0.0470824
22.72,-1.015127,0.08549187,0.0470805
22.82,-1.015155,0.08551088,0.0470800
22.92,-1.015148,0.08550832,0.0470800
23.02,-1.015153,0.08550844,0.0470871
23.12,-1.015163,0.08550212,0.0470786
23.22,-1.015133,0.0854958,0.0470910
23.32,-1.015164,0.08551005,0.0470833
23.42,-1.015153,0.08551636,0.0470795
23.52,-1.01516,0.08551618,0.0470719
23.62,-1.015155,0.0855265,0.0470800
23.72,-1.015142,0.08552757,0.0470776
23.82,-1.015151,0.0855206,0.0470809
23.92,-1.015141,0.0855054,0.0470681
24.02,-1.015146,0.08552334,0.0470809
24.12,-1.01514,0.08553019,0.0470809
24.22,-1.015158,0.08553568,0.047076
24.32,-1.015133,0.08551279,0.0470757
24.42,-1.015153,0.08553228,0.0470824
24.52,-1.015142,0.08551416,0.0470814
24.62,-1.015144,0.08551946,0.0470676
24.72,-1.015142,0.08551821,0.0470862
24.82,-1.015145,0.08551612,0.0470795
24.92,-1.015139,0.08551523,0.0470790
25.02,-1.015146,0.08550063,0.0470700
25.12,-1.015141,0.08550486,0.047076
25.22,-1.015149,0.08552316,0.0470781
25.32,-1.01514,0.0855104,0.0470733
25.42,-1.015142,0.08550355,0.0470781
25.52,-1.015137,0.08550051,0.0470814
25.62,-1.015158,0.08551267,0.0470848
25.72,-1.015149,0.08551869,0.0470819
25.82,-1.015148,0.08551243,0.0470871
25.92,-1.015152,0.0855079,0.0470695
26.02,-1.01515,0.08549133,0.0470814
26.12,-1.015154,0.08552709,0.0470757
26.22,-1.01514,0.08549443,0.0470747
26.32,-1.015153,0.0855169,0.0470786
26.42,-1.015163,0.08549759,0.0470762
26.52,-1.015158,0.08550397,0.047082
26.62,-1.015152,0.08549586,0.047070
26.72,-1.015151,0.08551237,0.0470747
26.82,-1.015157,0.08549443,0.0470781
26.92,-1.015153,0.08548859,0.0470719
27.02,-1.015154,0.08549634,0.0470690
27.12,-1.015156,0.08550206,0.0470805
27.22,-1.015157,0.08549938,0.0470747
27.32,-1.015141,0.08550206,0.0470838
27.42,-1.015142,0.08550277,0.0470719
27.52,-1.015139,0.08551243,0.0470852
27.62,-1.015142,0.08550814,0.0470762
27.72,-1.015162,0.08550248,0.0470771
27.82,-1.015156,0.08552787,0.0470800
27.92,-1.015141,0.08550087,0.0470714
28.02,-1.015159,0.08551815,0.0470795
28.12,-1.015136,0.08550414,0.0470719
28.22,-1.015159,0.08551154,0.0470771
28.32,-1.015146,0.08551249,0.0470652
28.42,-1.015137,0.0854986,0.0470714
28.52,-1.015153,0.08550641,0.0470700
28.62,-1.015156,0.08550897,0.047076
28.72,-1.015129,0.08550927,0.0470886
28.82,-1.015155,0.08552715,0.0470628
28.92,-1.015139,0.08552352,0.0470743
29.02,-1.015139,0.08551535,0.0470781
29.12,-1.015141,0.08551338,0.0470719
29.22,-1.01514,0.08552501,0.0470714
29.32,-1.015141,0.08551553,0.0470709
29.42,-1.015138,0.08551273,0.0470795
29.52,-1.015137,0.0855287,0.0470695
29.62,-1.015117,0.08552215,0.0470738
29.72,-1.015153,0.08552989,0.0470795
29.82,-1.01513,0.08552924,0.0470728
29.92,-1.015137,0.08552614,0.0470786
30.02,-1.015144,0.08551475,0.0470881
30.12,-1.015143,0.08549902,0.0470938
30.22,-1.015138,0.08553448,0.0470824
30.32,-1.015136,0.08551493,0.0470867
30.42,-1.015141,0.08552846,0.0470776
30.52,-1.015123,0.08551916,0.0470824
30.62,-1.015168,0.08553824,0.0470771
30.72,-1.015135,0.08552513,0.0470790
30.82,-1.015149,0.08552393,0.0470790
30.92,-1.015136,0.08552209,0.0470848
31.02,-1.015118,0.08553085,0.0470757
31.12,-1.015142,0.08553162,0.047076
31.22,-1.015134,0.08553109,0.0470795
31.32,-1.015148,0.08554158,0.0470728
31.42,-1.015124,0.08553091,0.0470900
31.52,-1.015142,0.08554468,0.047076
31.62,-1.015149,0.08555052,0.0470805
31.72,-1.015124,0.08555093,0.0470724
31.82,-1.015132,0.0855563,0.0470695
31.92,-1.015131,0.08554086,0.0470714
32.02,-1.015128,0.08554795,0.0470805
32.12,-1.015131,0.08554193,0.0470781
32.22,-1.015142,0.08555791,0.0470848
32.32,-1.015125,0.08554092,0.0470724
32.42,-1.015122,0.0855346,0.0470814
32.52,-1.015116,0.08554545,0.0470786
32.62,-1.015116,0.0855473,0.0470781
32.72,-1.015122,0.08555648,0.0470786
32.82,-1.015125,0.08554402,0.0470905
32.92,-1.015131,0.08555946,0.0470752
33.02,-1.01513,0.08552399,0.0470738
33.12,-1.015141,0.08554289,0.0470781
33.22,-1.015117,0.08552751,0.0470800
33.32,-1.015137,0.08553699,0.0470862
33.42,-1.015145,0.08553734,0.0470671
33.52,-1.015142,0.08554819,0.0470757
33.62,-1.015131,0.08552828,0.0470876
33.72,-1.015132,0.0855262,0.0470695
33.82,-1.015136,0.08553734,0.0470795
33.92,-1.01513,0.08553997,0.047076
34.02,-1.015113,0.08551028,0.0470762
34.12,-1.015137,0.08556232,0.0470852
34.22,-1.015117,0.08551654,0.0470771
34.32,-1.015137,0.08553472,0.0470824
34.42,-1.01514,0.08553919,0.0470719
34.52,-1.015146,0.08553079,0.0470824
34.62,-1.015129,0.08552447,0.0470743
34.72,-1.015139,0.08553728,0.0470800
34.82,-1.015154,0.08556083,0.0470647
34.92,-1.015125,0.08553126,0.0470809
35.02,-1.015131,0.08553979,0.0470819
35.12,-1.015123,0.08552197,0.0470833
35.22,-1.015158,0.08555844,0.0470714
35.32,-1.015128,0.08551666,0.0470681
35.42,-1.015154,0.08554861,0.0470752
35.52,-1.015112,0.08550581,0.0470638
35.62,-1.015141,0.0855414,0.0470771
35.72,-1.01511,0.08550367,0.0470781
35.82,-1.015133,0.0855535,0.0470929
35.92,-1.015116,0.0855256,0.047070
36.02,-1.015155,0.0855796,0.0470728
36.12,-1.015118,0.08553228,0.0470790
36.22,-1.015117,0.08553335,0.0470728
36.32,-1.015121,0.08552924,0.0470800
36.42,-1.015121,0.0855464,0.0470757
36.52,-1.015117,0.08552989,0.0470733
36.62,-1.015131,0.08553997,0.0470752
36.72,-1.01512,0.08554068,0.0470728
36.82,-1.015106,0.0855197,0.0470838
36.92,-1.015136,0.08553603,0.0470752
37.02,-1.015113,0.08551726,0.0470781
37.12,-1.015138,0.08554199,0.0470733
37.22,-1.015109,0.08552071,0.0470819
37.32,-1.015126,0.08554044,0.0470719
37.42,-1.015118,0.08553579,0.0470733
37.52,-1.015124,0.08553067,0.0470676
37.62,-1.015117,0.0855343,0.0470719
37.72,-1.01512,0.08552119,0.0470786
37.82,-1.015128,0.08555511,0.0470724
37.92,-1.015118,0.08552161,0.0470724
38.02,-1.015127,0.08554575,0.0470738
38.12,-1.015113,0.08551624,0.047062
38.22,-1.015131,0.08553144,0.0470833
38.32,-1.015111,0.08550742,0.0470790
38.42,-1.015133,0.08554497,0.0470638
38.52,-1.015116,0.08551094,0.0470743
38.62,-1.015128,0.08552793,0.0470676
38.72,-1.015144,0.08551922,0.047068
38.82,-1.015139,0.08552489,0.0470719
38.92,-1.015115,0.08550414,0.0470695
39.02,-1.015131,0.08552799,0.0470690
39.12,-1.015123,0.0855048,0.0470781
39.22,-1.015122,0.08552405,0.0470795
39.32,-1.015123,0.08550176,0.047076
39.42,-1.015127,0.08552578,0.0470747
39.52,-1.015116,0.08550027,0.0470776
39.62,-1.015132,0.08554116,0.0470814
39.72,-1.015099,0.08549848,0.0470690
39.82,-1.015124,0.08554277,0.047082
39.92,-1.015111,0.08550748,0.047068
40.02,-1.015111,0.0855141,0.0470728
40.12,-1.015116,0.0855225,0.0470652
40.22,-1.015135,0.08553925,0.0470719
40.32,-1.015117,0.08552912,0.0470628
40.42,-1.015117,0.08551821,0.0470743
40.52,-1.015118,0.08551547,0.0470614
40.62,-1.015112,0.08550003,0.0470690
40.72,-1.015127,0.08553591,0.0470728
40.82,-1.015125,0.0855163,0.0470666
40.92,-1.01514,0.08552983,0.0470652
41.02,-1.015132,0.08553329,0.0470724
41.12,-1.015119,0.0855048,0.0470614
41.22,-1.01513,0.08552119,0.0470771
41.32,-1.01514,0.08550313,0.047064
41.42,-1.015122,0.08549091,0.0470776
41.52,-1.015136,0.08551368,0.0470743
41.62,-1.015116,0.08548316,0.0470743
41.72,-1.015129,0.08549717,0.0470733
41.82,-1.015127,0.08550003,0.0470652
41.92,-1.015123,0.08550826,0.047070
42.02,-1.015131,0.08549318,0.0470614
42.12,-1.015136,0.08552203,0.0470647
42.22,-1.015121,0.08550003,0.0470662
42.32,-1.015136,0.08550867,0.0470728
42.42,-1.015119,0.08549592,0.0470695
42.52,-1.015139,0.08551767,0.0470714
42.62,-1.015147,0.0855296,0.047062
42.72,-1.015139,0.08552,0.0470743
42.82,-1.015136,0.08550277,0.0470733
42.92,-1.015136,0.08550003,0.0470647
43.02,-1.015159,0.08551261,0.0470657
43.12,-1.01513,0.0854803,0.047062
43.22,-1.015162,0.08551928,0.0470652
43.32,-1.015133,0.08548048,0.0470700
43.42,-1.015153,0.0854874,0.0470733
43.52,-1.015143,0.08546355,0.0470728
43.62,-1.015165,0.08547732,0.0470776
43.72,-1.015162,0.08545151,0.0470733
43.82,-1.015158,0.08546355,0.0470771
43.92,-1.015168,0.08547947,0.0470719
44.02,-1.015172,0.08546206,0.0470690
44.12,-1.015186,0.08550337,0.0470714
44.22,-1.015159,0.0854679,0.0470757
44.32,-1.015164,0.08548144,0.0470747
44.42,-1.015154,0.085462,0.0470714
